arquivo,nome,classe_preliminar,versao_max_detectada,extensao,linhas,tamanho_bytes,titulo,arquivo_existe,decisao_sugerida,acao_sugerida,decisao_final_documental,acao_final,prioridade_preservacao
relatorios/atuais/CONTRATO_OPERACIONAL_PROJETO.md,CONTRATO_OPERACIONAL_PROJETO.md,DOCUMENTO_VIGENTE_CANDIDATO,,.md,796,25044,CONTRATO OPERACIONAL MESTRE DO PROJETO `payment-investment-allocation` — V183,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente.",DOCUMENTO_NORMATIVO_VIGENTE,"Manter; documento possui autoridade normativa, contratual, metodológica ou de governança.",ALTA
relatorios/atuais/GOVERNANCA_ESTRUTURAL_V206.md,GOVERNANCA_ESTRUTURAL_V206.md,DOCUMENTO_VIGENTE_CANDIDATO,206.0,.md,46,1522,Governança estrutural V206,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente.",DOCUMENTO_NORMATIVO_VIGENTE,"Manter; documento possui autoridade normativa, contratual, metodológica ou de governança.",ALTA
relatorios/atuais/GOVERNANCA_FINAL_SCRIPTS_V204.md,GOVERNANCA_FINAL_SCRIPTS_V204.md,DOCUMENTO_VIGENTE_CANDIDATO,204.0,.md,43,1597,GOVERNANÇA FINAL DE SCRIPTS — V204,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente.",DOCUMENTO_NORMATIVO_VIGENTE,"Manter; documento possui autoridade normativa, contratual, metodológica ou de governança.",ALTA
relatorios/atuais/GOVERNANCA_SCRIPTS_V203.md,GOVERNANCA_SCRIPTS_V203.md,DOCUMENTO_VIGENTE_CANDIDATO,203.0,.md,87,2780,Governança de scripts — V203,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente.",DOCUMENTO_NORMATIVO_VIGENTE,"Manter; documento possui autoridade normativa, contratual, metodológica ou de governança.",ALTA
relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,DOCUMENTO_VIGENTE_CANDIDATO,182.0,.md,867,23255,MODELO MATEMÁTICO ESTATÍSTICO-FINANCEIRO FINAL DO PROJETO `payment-investment-allocation`,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente.",DOCUMENTO_NORMATIVO_VIGENTE,"Manter; documento possui autoridade normativa, contratual, metodológica ou de governança.",ALTA
relatorios/atuais/BACKLOG_CONTRATUAL_FASES_FUTURAS.md,BACKLOG_CONTRATUAL_FASES_FUTURAS.md,DOCUMENTO_VIGENTE_CANDIDATO,,.md,88,5731,Backlog contratual das fases futuras,True,REVISAO_MANUAL_DOCUMENTO_VIGENTE,Revisar manualmente antes de qualquer decisão.,REVISAO_MANUAL_MANTER_POR_ORA,Manter por ora; requer revisão manual antes de qualquer reclassificação futura.,REVISAO
relatorios/atuais/MAPA_SCRIPTS_V201.md,MAPA_SCRIPTS_V201.md,DOCUMENTO_VIGENTE_CANDIDATO,201.0,.md,295,31952,MAPA DE SCRIPTS — V201,True,REVISAO_MANUAL_DOCUMENTO_VIGENTE,Revisar manualmente antes de qualquer decisão.,REVISAO_MANUAL_MANTER_POR_ORA,Manter por ora; requer revisão manual antes de qualquer reclassificação futura.,REVISAO
relatorios/atuais/HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,DOCUMENTO_VIGENTE_CANDIDATO,224.0,.md,41,886,HOTFIX V224 — LIMPEZA PRÉ-RELEASE DE ARTEFATOS EFÊMEROS,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA
relatorios/atuais/VALIDACAO_LOCAL_V216.md,VALIDACAO_LOCAL_V216.md,DOCUMENTO_VIGENTE_CANDIDATO,216.0,.md,97,2814,VALIDAÇÃO LOCAL — V216,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA
relatorios/atuais/VALIDACAO_LOCAL_V217.md,VALIDACAO_LOCAL_V217.md,DOCUMENTO_VIGENTE_CANDIDATO,217.0,.md,36,1347,VALIDAÇÃO LOCAL V217,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA
