requisito_contrato_modelo,secao_normativa,arquivo_funcao_encontrada,status_aderencia,evidencia,risco_operacional,menor_fronteira_segura_para_corrigir,prioridade
a) incorporação de recebidos futuros ao estado temporal,Modelo 4-A/5.1,nucleo/fluxo_pagamentos_terminal_v138.py::_ativar_recebidos_futuros_no_dia,implementado parcialmente,"há ativação diária em recorte V138, mas não evidência de motor único canônico para todos pacotes",médio,integrar ativação ao ledger canônico único do dia,alta
b) uso de recebidos futuros em pagamentos,Contrato 5 e Modelo 5.2,nucleo/motor_recomendacao_pagamentos_switching_v1.py::_fonte_operacionalmente_disponivel_na_data_referencia,implementado parcialmente,bloqueia recebido com data futura e permite quando disponível; 93 sem cobertura indicam baixa resolutividade operacional,alto,materializar seleção multifonte no fluxo principal,alta
c) uso de recebidos/aportes em alocação ou switching,Modelo 5.1/5.2,nucleo/planejador_switching_temporal_v1.py (acoes aporte_nao_aportado),apenas diagnóstico,"planejador calcula ações candidatas, mas switching promovido=0 e sem materialização operacional",alto,ligar ações elegíveis ao pacote vencedor do dia,alta
d) normalização de lotes vencidos como fonte disponível,Contrato 5 e 6.1,nucleo/saida_observavel.py + extrato operacional,"incerto, precisa de teste","há distinção ativo/exaurido na saída, sem trilha inequívoca de normalização para fonte do dia",alto,criar trilha explícita lote_vencido->caixa_disponivel,alta
e) avaliação de switch_only em dias sem pagamento,Contrato 7.3,nucleo/fluxo_pagamentos_terminal_v138.py,ausente,fluxo processa pagamentos e plano por pagamento; não evidência de rodada diária sem pagamento comparando switch_only vs no_action,alto,introduzir laço decisório diário com I_pay=0,alta
f) avaliação de switch_then_pay,Contrato 7.3,scripts/diagnostico/validar_invariantes_extrato_futuro.py,apenas diagnóstico,"há verificação de consistência para rótulo switch_then_pay, sem evidência de escolha econômica ativa",alto,implementar pacote como trajetória completa e comparar utilidade,alta
g) avaliação de pay_then_switch,Contrato 7.3,nucleo/fluxo_pagamentos_terminal_v138.py,ausente,não há evidência de pacote pay_then_switch comparado no mesmo estado inicial,alto,modelar pacote pay_then_switch no mesmo solver diário,alta
h) comparação conjunta dos pacotes no mesmo estado inicial,Contrato 7.4 / Modelo 3.2-4B,nucleo/caixa_recebidos_auditaveis.py (fora_do_escopo),implementado fora do contrato,módulo declara sem integração ao fluxo principal e sem decisão econômica real otimizada,alto,unificar pacote decisório diário canônico,alta
i) ledger canônico por fonte,Modelo 4-C,nucleo/gerar_planilha_operacional.py (Saida Canonica/Extrato Futuro),implementado parcialmente,"há campos saldo temp ant/consumo/dep e auditoria, porém decisão parece reconciliação por saída",médio,gerar ledger único upstream e apenas renderizar saída,média
j) decomposição de pagamento multifonte por fonte,Modelo 4-C/objetivo auditável,saidas/oficial/relatorio_operacional_v225.xlsx (Extrato Futuro/Auditoria Fontes),implementado parcialmente,"Auditoria Fontes detalha candidatos, mas Extrato Futuro permanece 1 linha por conta com lote sugerido único",alto,emitir linhas por fonte consumida com id comum de pagamento,alta
k) exclusão funcional de lotes exauridos no futuro,Modelo 5 / parâmetros 3-A,scripts/diagnostico/auditoria_origem_switchings_promovidos.py,implementado funcionalmente,script cruza lotes ativos/exauridos e exclusão por exaustão; divergência shadow_intersec_exauridos vazia,médio,fixar assert automatizado no pipeline,média
l) uso de lotes futuros quando disponíveis,Modelo 5.1,nucleo/fluxo_pagamentos_terminal_v138.py::_ativar_recebidos_futuros_no_dia,implementado parcialmente,ativação por dia existe no fluxo recortado; falta evidência de integração total com todos pacotes,médio,promover para estado canônico único usado por pagamentos e switching,média
