arquivo,nome,classe_preliminar,versao_max_detectada,extensao,linhas,tamanho_bytes,titulo,arquivo_existe,decisao_sugerida,acao_sugerida
relatorios/atuais/CONTRATO_OPERACIONAL_PROJETO.md,CONTRATO_OPERACIONAL_PROJETO.md,DOCUMENTO_VIGENTE_CANDIDATO,,.md,796,25044,CONTRATO OPERACIONAL MESTRE DO PROJETO `payment-investment-allocation` — V183,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente."
relatorios/atuais/GOVERNANCA_ESTRUTURAL_V206.md,GOVERNANCA_ESTRUTURAL_V206.md,DOCUMENTO_VIGENTE_CANDIDATO,206.0,.md,46,1522,Governança estrutural V206,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente."
relatorios/atuais/GOVERNANCA_FINAL_SCRIPTS_V204.md,GOVERNANCA_FINAL_SCRIPTS_V204.md,DOCUMENTO_VIGENTE_CANDIDATO,204.0,.md,43,1597,GOVERNANÇA FINAL DE SCRIPTS — V204,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente."
relatorios/atuais/GOVERNANCA_SCRIPTS_V203.md,GOVERNANCA_SCRIPTS_V203.md,DOCUMENTO_VIGENTE_CANDIDATO,203.0,.md,87,2780,Governança de scripts — V203,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente."
relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,DOCUMENTO_VIGENTE_CANDIDATO,182.0,.md,867,23255,MODELO MATEMÁTICO ESTATÍSTICO-FINANCEIRO FINAL DO PROJETO `payment-investment-allocation`,True,MANTER_COMO_DOCUMENTO_VIGENTE,"Manter; provável documento normativo, operacional ou de baseline vigente."
relatorios/atuais/HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,DOCUMENTO_VIGENTE_CANDIDATO,224.0,.md,41,886,HOTFIX V224 — LIMPEZA PRÉ-RELEASE DE ARTEFATOS EFÊMEROS,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V216.md,VALIDACAO_LOCAL_V216.md,DOCUMENTO_VIGENTE_CANDIDATO,216.0,.md,97,2814,VALIDAÇÃO LOCAL — V216,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V217.md,VALIDACAO_LOCAL_V217.md,DOCUMENTO_VIGENTE_CANDIDATO,217.0,.md,36,1347,VALIDAÇÃO LOCAL V217,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V218.md,VALIDACAO_LOCAL_V218.md,DOCUMENTO_VIGENTE_CANDIDATO,218.0,.md,59,1879,VALIDAÇÃO LOCAL — V218,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V219.md,VALIDACAO_LOCAL_V219.md,DOCUMENTO_VIGENTE_CANDIDATO,219.0,.md,57,1711,VALIDAÇÃO LOCAL — V219,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V220.md,VALIDACAO_LOCAL_V220.md,DOCUMENTO_VIGENTE_CANDIDATO,220.0,.md,22,681,VALIDAÇÃO LOCAL — V220,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V221.md,VALIDACAO_LOCAL_V221.md,DOCUMENTO_VIGENTE_CANDIDATO,221.0,.md,64,4300,VALIDAÇÃO LOCAL — V221,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V222.md,VALIDACAO_LOCAL_V222.md,DOCUMENTO_VIGENTE_CANDIDATO,222.0,.md,54,3151,VALIDAÇÃO LOCAL — V222,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V223.md,VALIDACAO_LOCAL_V223.md,DOCUMENTO_VIGENTE_CANDIDATO,223.0,.md,31,925,VALIDAÇÃO LOCAL — V223,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V224.md,VALIDACAO_LOCAL_V224.md,DOCUMENTO_VIGENTE_CANDIDATO,224.0,.md,25,654,VALIDAÇÃO LOCAL — V224,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/VALIDACAO_LOCAL_V225.md,VALIDACAO_LOCAL_V225.md,DOCUMENTO_VIGENTE_CANDIDATO,225.0,.md,43,1152,VALIDAÇÃO LOCAL — V225,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.
relatorios/atuais/BACKLOG_CONTRATUAL_FASES_FUTURAS.md,BACKLOG_CONTRATUAL_FASES_FUTURAS.md,DOCUMENTO_VIGENTE_CANDIDATO,,.md,88,5731,Backlog contratual das fases futuras,True,REVISAO_MANUAL_DOCUMENTO_VIGENTE,Revisar manualmente antes de qualquer decisão.
relatorios/atuais/MAPA_SCRIPTS_V201.md,MAPA_SCRIPTS_V201.md,DOCUMENTO_VIGENTE_CANDIDATO,201.0,.md,295,31952,MAPA DE SCRIPTS — V201,True,REVISAO_MANUAL_DOCUMENTO_VIGENTE,Revisar manualmente antes de qualquer decisão.
relatorios/atuais/INDICE_MESTRE_BASELINES_HISTORICAS.md,INDICE_MESTRE_BASELINES_HISTORICAS.md,INDICE_RASTREABILIDADE,,.md,61,4301,Índice-mestre — baselines históricas consolidadas,True,MANTER_INDICE_RASTREABILIDADE,Manter; índice-mestre ou relatório de fechamento histórico.
relatorios/atuais/INDICE_MESTRE_ESTRUTURAS_HISTORICAS.md,INDICE_MESTRE_ESTRUTURAS_HISTORICAS.md,INDICE_RASTREABILIDADE,,.md,40,2486,Índice-mestre — estruturas históricas consolidadas,True,MANTER_INDICE_RASTREABILIDADE,Manter; índice-mestre ou relatório de fechamento histórico.
relatorios/atuais/INDICE_MESTRE_VALIDACOES_HISTORICAS.md,INDICE_MESTRE_VALIDACOES_HISTORICAS.md,INDICE_RASTREABILIDADE,,.md,38,2470,Índice-mestre — validações históricas consolidadas,True,MANTER_INDICE_RASTREABILIDADE,Manter; índice-mestre ou relatório de fechamento histórico.
relatorios/atuais/RELATORIO_FECHAMENTO_LIMPEZA_RELATORIOS_HISTORICO.md,RELATORIO_FECHAMENTO_LIMPEZA_RELATORIOS_HISTORICO.md,INDICE_RASTREABILIDADE,,.md,57,2088,Relatório de fechamento — limpeza de relatorios/historico,True,MANTER_INDICE_RASTREABILIDADE,Manter; índice-mestre ou relatório de fechamento histórico.
relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_ESPECIFICAS_RAIZ_HISTORICO.md,RELATORIO_CONSOLIDADO_AUDITORIAS_ESPECIFICAS_RAIZ_HISTORICO.md,RASTREABILIDADE_CONSOLIDADA,,.md,703,34659,Relatório consolidado — auditorias específicas históricas da raiz,True,MANTER_RASTREABILIDADE_CONSOLIDADA,Manter; substitui blocos granulares já removidos ou consolidados.
relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_RANKING_HISTORICO.md,RELATORIO_CONSOLIDADO_AUDITORIAS_RANKING_HISTORICO.md,RASTREABILIDADE_CONSOLIDADA,,.md,149,8080,Relatório consolidado — auditorias históricas de ranking,True,MANTER_RASTREABILIDADE_CONSOLIDADA,Manter; substitui blocos granulares já removidos ou consolidados.
relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_REORGANIZACAO_HISTORICO.md,RELATORIO_CONSOLIDADO_AUDITORIAS_REORGANIZACAO_HISTORICO.md,RASTREABILIDADE_CONSOLIDADA,,.md,156,7548,Relatório consolidado — auditorias históricas de reorganização,True,MANTER_RASTREABILIDADE_CONSOLIDADA,Manter; substitui blocos granulares já removidos ou consolidados.
relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_SHADOW_LEGACY_HISTORICO.md,RELATORIO_CONSOLIDADO_AUDITORIAS_SHADOW_LEGACY_HISTORICO.md,RASTREABILIDADE_CONSOLIDADA,,.md,174,9948,Relatório consolidado — auditorias históricas de shadow legacy,True,MANTER_RASTREABILIDADE_CONSOLIDADA,Manter; substitui blocos granulares já removidos ou consolidados.
relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_TEMPORAIS_HISTORICO.md,RELATORIO_CONSOLIDADO_AUDITORIAS_TEMPORAIS_HISTORICO.md,RASTREABILIDADE_CONSOLIDADA,,.md,585,34675,Relatório consolidado — auditorias históricas temporais,True,MANTER_RASTREABILIDADE_CONSOLIDADA,Manter; substitui blocos granulares já removidos ou consolidados.
relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V001_V030.md,RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V001_V030.md,RASTREABILIDADE_CONSOLIDADA,30.0,.md,516,16953,Relatório consolidado — baselines históricas V001–V030,True,MANTER_RASTREABILIDADE_CONSOLIDADA,Manter; substitui blocos granulares já removidos ou consolidados.
relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V031_V060.md,RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V031_V060.md,RASTREABILIDADE_CONSOLIDADA,60.0,.md,661,33554,Relatório consolidado — baselines históricas V031–V060,True,MANTER_RASTREABILIDADE_CONSOLIDADA,Manter; substitui blocos granulares já removidos ou consolidados.
