arquivo,nome,linhas,tamanho_bytes,tema_classificado,titulo,primeiras_linhas
relatorios/historico/auditorias_especificas/AUDITORIA_ARQUITETURAL_V3.md,AUDITORIA_ARQUITETURAL_V3.md,49,2012,arquitetura_repositorio_scripts,Auditoria arquitetural da V3,"# Auditoria arquitetural da V3 | ## Objetivo desta reconstrução | Esta versão não amplia o domínio financeiro do projeto. Ela apenas reconstrói a | baseline para deixá-la mais coerente com a regra de auditoria por | **responsabilidade real**, e não por módulo físico herdado dos scripts-base. | ## Problemas identificados na V2 revisada | 1. A estrutura já sugeria diretórios futuros como `motores/`, `estrategias/` e |    `adapters/` antes de termos mapeado suficientemente as responsabilidades"
relatorios/historico/auditorias_especificas/AUDITORIA_ATIVACAO_E_EXPANSAO_FUTUROS_V136.md,AUDITORIA_ATIVACAO_E_EXPANSAO_FUTUROS_V136.md,53,2747,ativacao_futuros_pos_vencimento,Auditoria da ativação dos lotes futuros e expansão da grade oficial híbrida — V136,"# Auditoria da ativação dos lotes futuros e expansão da grade oficial híbrida — V136 | ## Resultado da auditoria de ativação | - lotes futuros não aportados auditados: **24** | - ativações corretas na própria data de recebimento: **24** | - ativações incorretas: **0** | Isso confirma que, a partir desta versão, os lotes futuros não aportados entram como fontes elegíveis exatamente na data de recebimento. | ## Evidência de ativação ao longo do horizonte | Exemplos confirmados:"
relatorios/historico/auditorias_especificas/AUDITORIA_ATIVACAO_LOTES_NAO_APORTADOS_FUTUROS_V136.md,AUDITORIA_ATIVACAO_LOTES_NAO_APORTADOS_FUTUROS_V136.md,35,1820,ativacao_futuros_pos_vencimento,Auditoria da ativação de lotes não aportados futuros — V136,# Auditoria da ativação de lotes não aportados futuros — V136 | - Data de referência: 2026-04-21 | - Lotes futuros auditados: 24 | - Ativações corretas na data de recebimento: 24 | - Ativações incorretas: 0 | ## Registros auditados | | Lote | Data recebimento | Valor | Elegível antes | Elegível no dia | Ativação correta | | |---|---|---:|---|---|---|
relatorios/historico/auditorias_especificas/AUDITORIA_CHAVE_TAU_V149_2026-05-04.md,AUDITORIA_CHAVE_TAU_V149_2026-05-04.md,26,1714,tau_flattening,Auditoria da chave experimental com tau em 2026-05-04,"# Auditoria da chave experimental com tau em 2026-05-04 | Baseline: V148 | Versão experimental: V149 | ## Contrato experimental | Mantém os 7 primeiros critérios canônicos intactos e, no empate, compara patrimônio_terminal_proxy - tau * custo_operacional. | ## Base | - Patrimônio terminal proxy do `pay_only`: **R$ 25.456,76** | - Custo operacional do `pay_only`: **9.0**"
relatorios/historico/auditorias_especificas/AUDITORIA_CORRECAO_FLATTENING_V148_2026-05-04.md,AUDITORIA_CORRECAO_FLATTENING_V148_2026-05-04.md,62,2112,tau_flattening,Auditoria experimental da correção de flattening em 2026-05-04,"# Auditoria experimental da correção de flattening em 2026-05-04 | Baseline: V147 | Versão experimental: V148 | ## Resumo | - Lotes normalizados no dia: Lote 3000 mar. V=R$ 3.104,32, Lote 3000 mar. B=R$ 2.571,24 | - Patrimônio terminal proxy do pacote base (`pay_only`): **R$ 25.456,76** | - Patrimônio terminal proxy do pacote `switch_then_pay` 3k-only: **R$ 25.476,11** | - Delta de patrimônio terminal proxy: **R$ 19,35**"
relatorios/historico/auditorias_especificas/AUDITORIA_DUPLICACAO_SCRIPTS_V154.md,AUDITORIA_DUPLICACAO_SCRIPTS_V154.md,71,2999,arquitetura_repositorio_scripts,Auditoria de duplicação entre `scripts/` e `scripts/diagnostico/`,# Auditoria de duplicação entre `scripts/` e `scripts/diagnostico/` | Baseline de entrada: **V153** | Baseline de saída: **V154** | ## Resumo objetivo | - arquivos Python no `scripts/` raiz (sem subpastas): **65** | - arquivos Python canônicos em `scripts/diagnostico/` (sem `__init__`/`_bootstrap`): **62** | - nomes espelhados entre raiz e diagnóstico: **62** | - arquivos somente na raiz: **3**
relatorios/historico/auditorias_especificas/AUDITORIA_FECHAMENTO_FRENTE_TEMPORAL_V135.md,AUDITORIA_FECHAMENTO_FRENTE_TEMPORAL_V135.md,101,4084,auditoria_geral,Auditoria de fechamento da frente temporal — V135,"# Auditoria de fechamento da frente temporal — V135 | ## Pergunta de decisão | Decidir se a evidência atual já permite encerrar a frente temporal com a única subjanela vencedora oficial `2026-04-30` a `2026-05-04`, ou se ainda existe justificativa técnica para estender a grade diária oficial híbrida até `2027-03-31`. | ## Evidência já consolidada no fluxo oficial híbrido | ### Subjanela oficialmente vencedora já confirmada | - `2026-04-30` a `2026-05-04` | - promoção oficial: `vencedor_terminal` | - cenário promovido: `Lote 3000 mar. B + Lote 3000 mar. V + Lote 8500 mar. -> CDB XP 150%`"
relatorios/historico/auditorias_especificas/AUDITORIA_JANELA_TAU_SEM_GATE_V151_2026-05-04_2026-05-12.md,AUDITORIA_JANELA_TAU_SEM_GATE_V151_2026-05-04_2026-05-12.md,94,5837,tau_flattening,Auditoria da janela 2026-05-04 a 2026-05-12 sem pré-gate,"# Auditoria da janela 2026-05-04 a 2026-05-12 sem pré-gate | Baseline operacional: V150. | ## Contrato auditado | - tau = **10,0** | - sem depender de `_melhor_plano_switching_diario_v143` | - em cada dia, o pacote base foi comparado apenas contra o **melhor switching bruto do dia** | ## Resumo comparativo contra a V150 (gate + tau) | - Switching promovidos sem gate: **1**"
relatorios/historico/auditorias_especificas/AUDITORIA_JANELA_TAU_V150_2026-05-04_2026-05-12.md,AUDITORIA_JANELA_TAU_V150_2026-05-04_2026-05-12.md,78,2618,tau_flattening,"Auditoria multi-dia com tau = 10,0","# Auditoria multi-dia com tau = 10,0 | Janela: **2026-05-04 a 2026-05-12** | ## Resumo comparativo | - Switching adicionais promovidos por tau: **0** | - Dias com pacote vencedor alterado: **0** | - `switch_then_pay` na regra atual: **0** | - `switch_only` na regra atual: **0** | - `switch_then_pay` com tau=10,0: **0**"
relatorios/historico/auditorias_especificas/AUDITORIA_LOTE_5680_ABR_V37.md,AUDITORIA_LOTE_5680_ABR_V37.md,30,1388,auditorias_lotes,AUDITORIA ESPECÍFICA — LOTE 5680 ABR. — V37,"# AUDITORIA ESPECÍFICA — LOTE 5680 ABR. — V37 | ## Cadastro do lote | - lote: `Lote 5680 abr.` | - data de recebimento: `2026-04-06` | - data de aplicação: `2026-04-14` | - valor original: `R$ 5.680,00` | - produto: `CDB Neon Planejado 150% CDI - 60 dias` | ## Regra aplicada"
