arquivo,nome,classe_preliminar,versao_max_detectada,extensao,linhas,tamanho_bytes,titulo,decisao_sugerida,proxima_acao
relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md,INVENTARIO_RASTREADO_POS_LIMPEZA.md,MATERIAL_LIMPEZA_AUDITORIA,,.md,791,50221,INVENTARIO_RASTREADO_POS_LIMPEZA.md,EVIDENCIA_PERMANENTE_LIMPEZA,Manter; documento preserva rastreabilidade da limpeza já executada.
relatorios/atuais/limpeza_estrutura/RESUMO_AUDITORIA_ESTRUTURAL_PASTAS.md,RESUMO_AUDITORIA_ESTRUTURAL_PASTAS.md,MATERIAL_LIMPEZA_AUDITORIA,,.md,45,2329,Auditoria estrutural de pastas pós-limpeza,EVIDENCIA_PERMANENTE_LIMPEZA,Manter; documento preserva rastreabilidade da limpeza já executada.
relatorios/atuais/limpeza_estrutura/RESUMO_INVENTARIO_BASELINES_HISTORICAS.md,RESUMO_INVENTARIO_BASELINES_HISTORICAS.md,MATERIAL_LIMPEZA_AUDITORIA,,.md,54,2667,Inventário das baselines históricas,EVIDENCIA_PERMANENTE_LIMPEZA,Manter; documento preserva rastreabilidade da limpeza já executada.
relatorios/atuais/limpeza_estrutura/RESUMO_INVENTARIO_ESTRUTURAS_HISTORICAS.md,RESUMO_INVENTARIO_ESTRUTURAS_HISTORICAS.md,MATERIAL_LIMPEZA_AUDITORIA,,.md,29,881,Inventário das estruturas históricas do repositório,EVIDENCIA_PERMANENTE_LIMPEZA,Manter; documento preserva rastreabilidade da limpeza já executada.
relatorios/atuais/limpeza_estrutura/RESUMO_INVENTARIO_RELATORIOS_HISTORICO.md,RESUMO_INVENTARIO_RELATORIOS_HISTORICO.md,MATERIAL_LIMPEZA_AUDITORIA,,.md,35,1215,Inventário de `relatorios/historico/`,EVIDENCIA_PERMANENTE_LIMPEZA,Manter; documento preserva rastreabilidade da limpeza já executada.
relatorios/atuais/limpeza_estrutura/RESUMO_INVENTARIO_VALIDACOES_HISTORICAS.md,RESUMO_INVENTARIO_VALIDACOES_HISTORICAS.md,MATERIAL_LIMPEZA_AUDITORIA,,.md,23,754,Inventário das validações históricas,EVIDENCIA_PERMANENTE_LIMPEZA,Manter; documento preserva rastreabilidade da limpeza já executada.
relatorios/atuais/limpeza_scripts/RESUMO_AUDITORIA_REFINADA_CANDIDATOS_REMOCAO.md,RESUMO_AUDITORIA_REFINADA_CANDIDATOS_REMOCAO.md,MATERIAL_LIMPEZA_AUDITORIA,,.md,22,980,Auditoria refinada dos candidatos à remoção em `scripts/diagnostico/`,EVIDENCIA_PERMANENTE_LIMPEZA,Manter; documento preserva rastreabilidade da limpeza já executada.
relatorios/atuais/limpeza_scripts/RESUMO_INVENTARIO_SCRIPTS_DIAGNOSTICO.md,RESUMO_INVENTARIO_SCRIPTS_DIAGNOSTICO.md,MATERIAL_LIMPEZA_AUDITORIA,,.md,30,1184,Inventário preliminar de `scripts/diagnostico/`,EVIDENCIA_PERMANENTE_LIMPEZA,Manter; documento preserva rastreabilidade da limpeza já executada.
relatorios/atuais/AUDITORIA_CAMADA_SAIDA_CANONICA_V202.md,AUDITORIA_CAMADA_SAIDA_CANONICA_V202.md,MATERIAL_LIMPEZA_AUDITORIA,202.0,.md,85,3463,AUDITORIA E IMPLEMENTAÇÃO — CAMADA ÚNICA DE SAÍDA CANÔNICA V202,EVIDENCIA_PERMANENTE_OPERACIONAL,Manter; documento registra auditoria operacional recente e não deve ser removido como material auxiliar.
relatorios/atuais/AUDITORIA_CONSOLE_DIAGNOSTICO_V216.md,AUDITORIA_CONSOLE_DIAGNOSTICO_V216.md,MATERIAL_LIMPEZA_AUDITORIA,216.0,.md,73,24262,AUDITORIA DO CONSOLE E DOS DIAGNÓSTICOS V216,EVIDENCIA_PERMANENTE_OPERACIONAL,Manter; documento registra auditoria operacional recente e não deve ser removido como material auxiliar.
relatorios/atuais/AUDITORIA_IMPACTO_CONTAS_FUTURAS_V217.md,AUDITORIA_IMPACTO_CONTAS_FUTURAS_V217.md,MATERIAL_LIMPEZA_AUDITORIA,217.0,.md,43,1824,AUDITORIA DE IMPACTO SOBRE CONTAS FUTURAS — V217,EVIDENCIA_PERMANENTE_OPERACIONAL,Manter; documento registra auditoria operacional recente e não deve ser removido como material auxiliar.
relatorios/atuais/AUDITORIA_LIMPEZA_RESIDUAL_V201.md,AUDITORIA_LIMPEZA_RESIDUAL_V201.md,MATERIAL_LIMPEZA_AUDITORIA,201.0,.md,55,3846,AUDITORIA E LIMPEZA RESIDUAL — V201,EVIDENCIA_PERMANENTE_OPERACIONAL,Manter; documento registra auditoria operacional recente e não deve ser removido como material auxiliar.
relatorios/atuais/limpeza_estrutura/auditoria_refinada_historico_saida_propria_v203.csv,auditoria_refinada_historico_saida_propria_v203.csv,MATERIAL_LIMPEZA_AUDITORIA,203.0,.csv,51,19353,auditoria_refinada_historico_saida_propria_v203.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_artefatos_soltos.csv,auditoria_relatorios_historico_artefatos_soltos.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,3,640,auditoria_relatorios_historico_artefatos_soltos.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_auditorias_especificas_raiz.csv,auditoria_relatorios_historico_auditorias_especificas_raiz.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,21,14036,auditoria_relatorios_historico_auditorias_especificas_raiz.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_auditorias_ranking.csv,auditoria_relatorios_historico_auditorias_ranking.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,5,3932,auditoria_relatorios_historico_auditorias_ranking.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_auditorias_reorganizacao.csv,auditoria_relatorios_historico_auditorias_reorganizacao.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,5,2657,auditoria_relatorios_historico_auditorias_reorganizacao.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_auditorias_shadow_legacy.csv,auditoria_relatorios_historico_auditorias_shadow_legacy.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,6,4611,auditoria_relatorios_historico_auditorias_shadow_legacy.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_auditorias_temporal.csv,auditoria_relatorios_historico_auditorias_temporal.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,16,14015,auditoria_relatorios_historico_auditorias_temporal.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_contratos_intermediarios.csv,auditoria_relatorios_historico_contratos_intermediarios.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,22,20662,auditoria_relatorios_historico_contratos_intermediarios.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_documentacao_baseline.csv,auditoria_relatorios_historico_documentacao_baseline.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,7,4195,auditoria_relatorios_historico_documentacao_baseline.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_limpeza_repositorio.csv,auditoria_relatorios_historico_limpeza_repositorio.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,7,4215,auditoria_relatorios_historico_limpeza_repositorio.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_objetivo_final.csv,auditoria_relatorios_historico_objetivo_final.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,5,4412,auditoria_relatorios_historico_objetivo_final.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_reorganizacao_local_switching.csv,auditoria_relatorios_historico_reorganizacao_local_switching.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,12,9885,auditoria_relatorios_historico_reorganizacao_local_switching.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_relatorios_historico_validacoes_diarias.csv,auditoria_relatorios_historico_validacoes_diarias.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,9,6343,auditoria_relatorios_historico_validacoes_diarias.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/auditoria_saidas_diagnostico.csv,auditoria_saidas_diagnostico.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,3,3129,auditoria_saidas_diagnostico.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/inventario_pastas_profundidade_1.csv,inventario_pastas_profundidade_1.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,12,1080,inventario_pastas_profundidade_1.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/inventario_pastas_profundidade_2.csv,inventario_pastas_profundidade_2.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,34,3511,inventario_pastas_profundidade_2.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/inventario_pastas_profundidade_3.csv,inventario_pastas_profundidade_3.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,48,5109,inventario_pastas_profundidade_3.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/inventario_relatorios_historico.csv,inventario_relatorios_historico.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,413,68411,inventario_relatorios_historico.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/inventario_relatorios_historico_baselines.csv,inventario_relatorios_historico_baselines.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,115,52608,inventario_relatorios_historico_baselines.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/inventario_relatorios_historico_estruturas.csv,inventario_relatorios_historico_estruturas.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,77,37050,inventario_relatorios_historico_estruturas.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/inventario_relatorios_historico_validacoes.csv,inventario_relatorios_historico_validacoes.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,117,45852,inventario_relatorios_historico_validacoes.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_estrutura/status_local_ignorados_estrutura.txt,status_local_ignorados_estrutura.txt,MATERIAL_LIMPEZA_AUDITORIA,,.txt,45,2323,status_local_ignorados_estrutura.txt,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_scripts/auditoria_referencias_candidatos_remocao.csv,auditoria_referencias_candidatos_remocao.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,34,35811,auditoria_referencias_candidatos_remocao.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_scripts/auditoria_refinada_referencias_candidatos_remocao.csv,auditoria_refinada_referencias_candidatos_remocao.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,34,8184,auditoria_refinada_referencias_candidatos_remocao.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_scripts/auditoria_wrappers_temporal_decisao.csv,auditoria_wrappers_temporal_decisao.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,8,2285,auditoria_wrappers_temporal_decisao.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_scripts/candidatos_remocao_scripts_diagnostico.csv,candidatos_remocao_scripts_diagnostico.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,34,7559,candidatos_remocao_scripts_diagnostico.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
relatorios/atuais/limpeza_scripts/inventario_scripts_diagnostico.csv,inventario_scripts_diagnostico.csv,MATERIAL_LIMPEZA_AUDITORIA,,.csv,80,17502,inventario_scripts_diagnostico.csv,MATERIAL_CONSOLIDAVEL,Consolidar futuramente em índice/relatório único antes de qualquer remoção.
