rodada_id,modulo,id_item,categoria,regra,status,evidencia_arquivo,evidencia_linha_inicio,evidencia_linha_fim,comando_validacao,resultado_comando,severidade,responsavel,observacao,acao_corretiva,deadline
,TRANSVERSAL,A1,critico,"Verificação inicial de contas no dia (I_t^pay) antes da resolução",TODO,,,,,,,critico,,,
,TRANSVERSAL,A2,critico,"Pacotes conforme cenário: sem conta(no_action,switch_only) / com conta(pay_only,switch_then_pay,pay_then_switch)",TODO,,,,,,,critico,,,
,TRANSVERSAL,A3,critico,"Seleção por argmax de Z_t^(k)",TODO,,,,,,,critico,,,
,TRANSVERSAL,A4,critico,"Restrições de liquidez/carência/fiscalidade/cronologia/auditabilidade",TODO,,,,,,,critico,,,
,TRANSVERSAL,A5,critico,"Limiar monetário oficial: delta_res=0.20, delta_ativo=0.20, delta_mon=0.01",TODO,,,,,,,critico,,,
,TRANSVERSAL,A6,critico,"Factibilidade explícita de switch_then_pay",TODO,,,,,,,critico,,,
,TRANSVERSAL,A7,critico,"Conservação de valor por fonte: Q + Ssw + s = B(t)",TODO,,,,,,,critico,,,
,aplicacao/principal.py,B1.1,modulo,"Orquestração console + planilha em sequência oficial",TODO,,,,,,,alto,,,
,nucleo/runner_validacao_diaria_operacional_v177.py,B2.1,modulo,"Integração com motor_diario para seleção de cenários/pacotes",TODO,,,,,,,alto,,,
,nucleo/runner_validacao_diaria_operacional_v177.py,B2.2,modulo,"Ativação de recebidos futuros e normalização pós-vencimento",TODO,,,,,,,alto,,,
,nucleo/runner_validacao_diaria_operacional_v177.py,B2.3,modulo,"Trilha auditável de pagamento/switching",TODO,,,,,,,alto,,,
,nucleo/motor_diario/*,B3.1,modulo,"Fronteiras de responsabilidade respeitadas",TODO,,,,,,,medio,,,
,nucleo/motor_diario/*,B3.2,modulo,"Seleção do pacote vencedor aderente ao objetivo",TODO,,,,,,,alto,,,
,nucleo/motor_diario/*,B3.3,modulo,"Ordem intradiária por pacote preservada",TODO,,,,,,,alto,,,
,nucleo/saida_canonica.py,B4.1,modulo,"Camada única de saída (sem recálculo paralelo)",TODO,,,,,,,alto,,,
,nucleo/saida_canonica.py,B4.2,modulo,"Estrutura canônica completa de artefatos",TODO,,,,,,,medio,,,
,nucleo/saida_canonica.py,B4.3,modulo,"Uso do limiar oficial de resíduo",TODO,,,,,,,alto,,,
,nucleo/simulador_central_eventos_v1.py,B5.1,modulo,"Eventos temporais ativados no dia correto",TODO,,,,,,,alto,,,
,nucleo/simulador_central_eventos_v1.py,B5.2,modulo,"Reclassificação pós-vencimento no dia",TODO,,,,,,,alto,,,
,nucleo/utilitarios_neutros.py,B6.1,modulo,"Centralização de helpers sem duplicidade",TODO,,,,,,,medio,,,
