id,bloco,controle,comando_validacao,arquivo_ou_saida,evidencia,status,severidade,observacao_tecnica
D1,POS_MERGE,"Estado pós-merge verificado","git status --short && git branch --show-current && git log --oneline -n 10",terminal,"Branch atual e histórico recente coletados; sem alteração funcional aplicada",PASS,baixa,"Base da rodada confirmada"
D2,ARTEFATOS,"Artefatos RD-01 e RD-02 presentes","rg --files relatorios/atuais/framework_execucao",relatorios/atuais/framework_execucao,"Arquivos da estrutura base e rodadas localizados",PASS,baixa,"Rastreabilidade das rodadas anteriores preservada"
D3,DEPENDENCIA,"Import de scipy identificado","rg -n \"from scipy.optimize import linprog|scipy\" nucleo",nucleo/resolver_hibrido_5p_shadow.py,"Import direto de scipy encontrado na linha de topo",PASS,alta,"Dependência requerida no caminho de import"
D4,MANIFESTO,"scipy declarado em requirements.txt","nl -ba requirements.txt",requirements.txt,"Arquivo contém pandas/numpy/openpyxl/... sem scipy",FAIL,critica,"Dependência não declarada no manifesto principal"
D5,CADEIA_IMPORT,"Falha ocorre antes da execução econômica","nl -ba .../console_execucao.txt && nl -ba .../planilha_execucao.txt",relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/evidencias/console_execucao.txt;relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/evidencias/planilha_execucao.txt,"Traceback encerra no import de scipy em contexto_baseline/resolver_hibrido",PASS,critica,"Bloqueio pré-execução dos cálculos numéricos"
D6,INFRA,"Falha de instalação por ambiente/proxy","nl -ba .../pip_install_scipy.txt",relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/evidencias/pip_install_scipy.txt,"ProxyError/Tunnel connection failed: 403 Forbidden",PASS,alta,"Infraestrutura de rede bloqueou remediação local"
D7,ENTRYPOINTS,"Comandos oficiais afetados mapeados","rg -n \"python scripts/operacional/gerar_planilha_operacional.py\" README.md && nl -ba aplicacao/principal.py",README.md;aplicacao/principal.py,"README aponta comando oficial e ponto de entrada principal chama console+planilha",PASS,media,"Impacto direto na validação numérica"
D8,CAMADA_SAIDA,"Saída canônica segue como camada única","rg -n \"construir_saida_canonica\" aplicacao/console/principal.py scripts/operacional/gerar_planilha_operacional.py nucleo/saida_canonica.py",aplicacao/console/principal.py;scripts/operacional/gerar_planilha_operacional.py;nucleo/saida_canonica.py,"Chamadas canônicas preservadas sem alteração nesta rodada",PASS,baixa,"Sem inconsistência estrutural de saída"
D9,CONTINUIDADE,"Validação numérica pode ser retomada agora?","síntese técnica da matriz RD-03",relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-03/01_diagnostico_pos_merge.md,"Não: dependência ausente + bloqueio infra impedem execução N2-N11",FAIL,critica,"Requer microetapa mínima de ambiente/dependência"
D10,ACAO_MINIMA,"Ação mínima recomendada definida","síntese técnica da matriz RD-03",relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-03/03_decisao_continuidade.md,"Provisionar scipy no ambiente e formalizar dependência em microetapa separada",PASS,alta,"Sem alterar motor/regra/dados"
