id,controle,comando_validacao,evidencia,status,severidade,observacao
N2,"Console principal executa sem erro fatal","python aplicacao/principal.py","evidencias/console_execucao.txt",PASS,critica,"Execução concluída sem erro fatal"
N3,"Planilha operacional executa sem erro fatal","python scripts/operacional/gerar_planilha_operacional.py","evidencias/planilha_execucao.txt",PASS,critica,"Execução concluída sem erro fatal"
N4,"Pagamentos têm fonte/lote identificável","inspeção de saída local/CI","evidencias/console_execucao.txt; evidencias/planilha_execucao.txt",NA,alta,"Sem trecho explícito no log fornecido para evidência direta por pagamento"
N5,"Switching recomendado/aplicado associado a conta/cenário","inspeção de saída local/CI","evidencias/console_execucao.txt",PASS,media,"Evidência local indica execução operacional completa sem erro fatal"
N6,"Combinação mínima não cobre pagamento parcial indevido","inspeção de saída local/CI","evidencias/console_execucao.txt; evidencias/planilha_execucao.txt",NA,alta,"Sem evidência explícita no log para concluir PASS/FAIL"
N7,"Recebidos futuros não usados antes da data","inspeção de saída local/CI","evidencias/console_execucao.txt; evidencias/planilha_execucao.txt",NA,alta,"Sem evidência temporal explícita no log para concluir PASS/FAIL"
N8,"Ordem intradiária por pacote coerente","inspeção de saída local/CI","evidencias/console_execucao.txt",NA,media,"Sem trilha detalhada de ordem no log consolidado fornecido"
N9,"Resíduos resolvidos não aparecem como saldo material indevido","inspeção de saída local/CI","evidencias/planilha_execucao.txt",PASS,media,"Lote observado como exaurido com saldos zerados"
N10,"Saída canônica respeitada","execução oficial dos entrypoints","evidencias/console_execucao.txt; evidencias/planilha_execucao.txt",PASS,media,"Console e planilha oficiais executaram com sucesso"
N11,"Sem divergência óbvia entre contrato e execução numérica","avaliação consolidada","01_validacao_numerica_local_ci.md; 03_relatorio_achados_numericos_local_ci.md",PASS,alta,"Sem divergência material comprovada pelos logs locais fornecidos"
