arquivo,nome,linhas_codigo,categoria_preliminar,acao_preliminar,importa_nucleo,importa_aplicacao,descricao_inicial
scripts\diagnostico\__init__.py,__init__.py,0,infra_diagnostico,manter_por_enquanto,não,não,
scripts\diagnostico\_bootstrap.py,_bootstrap.py,8,infra_diagnostico,manter_por_enquanto,não,não,
scripts\diagnostico\_governanca_saida.py,_governanca_saida.py,42,infra_diagnostico,manter_por_enquanto,não,não,"""""""Governança de scripts diagnósticos e legados — V203."
scripts\diagnostico\auditar_calculo_dias_lotes_v218.py,auditar_calculo_dias_lotes_v218.py,208,diagnostico_recente_pos_baseline,avaliar,sim,não,"""""""Auditoria V218 do cálculo canônico de dias corridos e dias úteis de lotes."
scripts\diagnostico\auditar_calculo_dias_lotes_v219.py,auditar_calculo_dias_lotes_v219.py,244,diagnostico_recente_pos_baseline,avaliar,sim,não,"""""""Auditoria V219 do cálculo de dias dos lotes e idade fiscal centralizada."
scripts\diagnostico\auditar_divergencias_motor_central_extrato_v241.py,auditar_divergencias_motor_central_extrato_v241.py,309,auditoria_recente_motor_central,manter_por_enquanto,sim,não,"""""""ME-V241 — Auditoria diagnóstica motor versus central versus extrato futuro."
scripts\diagnostico\auditar_gate_economico_aportes_v220.py,auditar_gate_economico_aportes_v220.py,216,diagnostico_recente_pos_baseline,avaliar,sim,não,"""""""Gate econômico obrigatório dos aportes planejados — V220/V222."
scripts\diagnostico\auditar_gate_economico_aportes_v223.py,auditar_gate_economico_aportes_v223.py,13,diagnostico_recente_pos_baseline,avaliar,não,não,"""""""Script canônico V223 para gate econômico dos aportes planejados."
scripts\diagnostico\auditar_impacto_contas_futuras_v217.py,auditar_impacto_contas_futuras_v217.py,283,diagnostico_recente_pos_baseline,avaliar,sim,não,"""""""Auditoria V217 do impacto dos aportes planejados sobre contas futuras reais."
scripts\diagnostico\auditar_impacto_contas_futuras_v223.py,auditar_impacto_contas_futuras_v223.py,13,diagnostico_recente_pos_baseline,avaliar,não,não,"""""""Script canônico V223 para auditoria de impacto sobre contas futuras."
scripts\diagnostico\auditoria_final_pre_baseline_v223.py,auditoria_final_pre_baseline_v223.py,91,release_check,manter_por_enquanto,sim,não,"""""""Auditoria final pré-baseline da V223."""""""
scripts\diagnostico\consolidar_grade_diaria_hibrida_v133.py,consolidar_grade_diaria_hibrida_v133.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_hibrida_v134.py,consolidar_grade_diaria_hibrida_v134.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_hibrida_v136.py,consolidar_grade_diaria_hibrida_v136.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_parametrizada_v130.py,consolidar_grade_diaria_parametrizada_v130.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_switching_v126.py,consolidar_grade_diaria_switching_v126.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_switching_v127.py,consolidar_grade_diaria_switching_v127.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_switching_v128.py,consolidar_grade_diaria_switching_v128.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_alocador_pagamentos_terminal_v137.py,inspecionar_alocador_pagamentos_terminal_v137.py,40,diagnostico_historico_intermediario,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_alocador_pagamentos_terminal_v141.py,inspecionar_alocador_pagamentos_terminal_v141.py,40,diagnostico_historico_intermediario,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_aportes_planejados_v216.py,inspecionar_aportes_planejados_v216.py,208,diagnostico_recente_pos_baseline,avaliar,sim,não,"""""""Diagnóstico funcional da integração V216 de aportes futuros planejados."
scripts\diagnostico\inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py,inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_auditoria_estrutural_redundancia.py,inspecionar_auditoria_estrutural_redundancia.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_auditoria_runner_futuro_shadow.py,inspecionar_auditoria_runner_futuro_shadow.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_auditoria_temporal_decisao_local.py,inspecionar_auditoria_temporal_decisao_local.py,50,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeciona a auditoria temporal da decisão local v1."""""""
scripts\diagnostico\inspecionar_base.py,inspecionar_base.py,14,inspecao_sem_versao_explicita,avaliar,não,sim,"""""""Atalho de execução para inspecionar a baseline atual."""""""
scripts\diagnostico\inspecionar_benchmark_agrupado_individual_shadow.py,inspecionar_benchmark_agrupado_individual_shadow.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_benchmark_runner_futuro_shadow.py,inspecionar_benchmark_runner_futuro_shadow.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_casos_reaproveitaveis_proxy_v3_vs_hibrido_shadow.py,inspecionar_casos_reaproveitaveis_proxy_v3_vs_hibrido_shadow.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_chave_tau_v149.py,inspecionar_chave_tau_v149.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\inspecionar_comparador_hibrido_switching_v132.py,inspecionar_comparador_hibrido_switching_v132.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_comparativo_proxy_v2_v3.py,inspecionar_comparativo_proxy_v2_v3.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py,inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
