ordem,linha_alvo,prioridade,classe_cobertura,score,risco_remocao,melhor_fonte,melhor_trecho_fonte
1,# HOTFIX_CONSOLE_IMPORTS_V205,ALTA,COBERTA_EXATA,1.0,RISCO_BAIXO,relatorios\atuais\LEIA-ME_OPERACIONAL.md,# HOTFIX_CONSOLE_IMPORTS_V205
2,Status: APLICADO,BAIXA,COBERTA_FRACA_PARCIAL,0.667,RISCO_BAIXO_A_MEDIO,relatorios\atuais\GOVERNANCA_ESTRUTURAL_V206.md,## Escopo aplicado
3,Base fixa: V204,BAIXA,COBERTA_FRACA_PARCIAL,0.667,RISCO_BAIXO_A_MEDIO,relatorios\atuais\LEIA-ME_OPERACIONAL.md,- Base funcional fixa de origem: **V200**
4,Nova versão: V205,BAIXA,COBERTA_FRACA_PARCIAL,0.476,RISCO_BAIXO_A_MEDIO,relatorios\atuais\GOVERNANCA_ESTRUTURAL_V206.md,# Governança estrutural V206
5,## Motivo,MEDIA,NAO_COBERTA,0.435,RISCO_MEDIO,relatorios\atuais\GOVERNANCA_ESTRUTURAL_V206.md,- motor econômico;
6,Ao executar:,BAIXA,COBERTA_FORTE_PARCIAL,1.0,RISCO_BAIXO,relatorios\atuais\GOVERNANCA_ESTRUTURAL_V206.md,A V206 foi aberta a partir da V205 para executar apenas ajustes documentais e estruturais de baixo risco:
7,python aplicacao/principal.py,ALTA,COBERTA_FRACA_PARCIAL,0.455,RISCO_ALTO,relatorios\atuais\GOVERNANCA_ESTRUTURAL_V206.md,## Escopo aplicado
8,a V204 falhava com:,ALTA,NAO_COBERTA,0.378,RISCO_ALTO,relatorios\atuais\GOVERNANCA_ESTRUTURAL_V206.md,Não foram alterados:
9,NameError: name 'construir_tabela_iof' is not defined,ALTA,NAO_COBERTA,0.411,RISCO_ALTO,relatorios\atuais\LEIA-ME_OPERACIONAL.md,- Contrato mestre vigente: **CONTRATO_OPERACIONAL_PROJETO.md**
10,## Causa,MEDIA,COBERTA_FRACA_PARCIAL,0.545,RISCO_BAIXO_A_MEDIO,relatorios\atuais\GOVERNANCA_ESTRUTURAL_V206.md,## Status
