arquivo,nome,classe_preliminar,versao_max_detectada,extensao,linhas,tamanho_bytes,titulo,arquivo_existe,decisao_sugerida,acao_sugerida,decisao_final_documental,acao_final,prioridade_preservacao,subclasse_suporte,acao_suporte,grupo_versao,decisao_final_suporte
relatorios/atuais/VALIDACAO_LOCAL_V216.md,VALIDACAO_LOCAL_V216.md,DOCUMENTO_VIGENTE_CANDIDATO,216.0,.md,97,2814,VALIDAÇÃO LOCAL — V216,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V216_V219,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V217.md,VALIDACAO_LOCAL_V217.md,DOCUMENTO_VIGENTE_CANDIDATO,217.0,.md,36,1347,VALIDAÇÃO LOCAL V217,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V216_V219,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V218.md,VALIDACAO_LOCAL_V218.md,DOCUMENTO_VIGENTE_CANDIDATO,218.0,.md,59,1879,VALIDAÇÃO LOCAL — V218,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V216_V219,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V219.md,VALIDACAO_LOCAL_V219.md,DOCUMENTO_VIGENTE_CANDIDATO,219.0,.md,57,1711,VALIDAÇÃO LOCAL — V219,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V216_V219,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,DOCUMENTO_VIGENTE_CANDIDATO,224.0,.md,41,886,HOTFIX V224 — LIMPEZA PRÉ-RELEASE DE ARTEFATOS EFÊMEROS,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,HOTFIX_RECENTE_MANTER,Manter; registra correção pontual recente ligada à limpeza pré-release.,V220_V225,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V220.md,VALIDACAO_LOCAL_V220.md,DOCUMENTO_VIGENTE_CANDIDATO,220.0,.md,22,681,VALIDAÇÃO LOCAL — V220,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V220_V225,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V221.md,VALIDACAO_LOCAL_V221.md,DOCUMENTO_VIGENTE_CANDIDATO,221.0,.md,64,4300,VALIDAÇÃO LOCAL — V221,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V220_V225,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V222.md,VALIDACAO_LOCAL_V222.md,DOCUMENTO_VIGENTE_CANDIDATO,222.0,.md,54,3151,VALIDAÇÃO LOCAL — V222,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V220_V225,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V223.md,VALIDACAO_LOCAL_V223.md,DOCUMENTO_VIGENTE_CANDIDATO,223.0,.md,31,925,VALIDAÇÃO LOCAL — V223,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V220_V225,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V224.md,VALIDACAO_LOCAL_V224.md,DOCUMENTO_VIGENTE_CANDIDATO,224.0,.md,25,654,VALIDAÇÃO LOCAL — V224,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V220_V225,MANTER_SEM_REMOCAO_AUTOMATICA
relatorios/atuais/VALIDACAO_LOCAL_V225.md,VALIDACAO_LOCAL_V225.md,DOCUMENTO_VIGENTE_CANDIDATO,225.0,.md,43,1152,VALIDAÇÃO LOCAL — V225,True,MANTER_COMO_SUPORTE_TECNICO_RECENTE,Manter por enquanto; documento técnico recente ainda ajuda a interpretar decisões do projeto.,SUPORTE_TECNICO_RECENTE,"Manter por enquanto; documento registra validação, hotfix ou suporte técnico recente.",MEDIA,VALIDACAO_LOCAL_RECENTE_MANTER,Manter; preserva evidência de validação local recente da sequência V216–V225.,V220_V225,MANTER_SEM_REMOCAO_AUTOMATICA
