arquivo,nome,tipo,versao_detectada,faixa_versao,linhas,tamanho_bytes,titulo,primeiras_linhas
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V100.md,ESTRUTURA_REPOSITORIO_V100.md,estrutura_repositorio,100,V091_V120,21,861,Estrutura do repositório V100,"# Estrutura do repositório V100 | ## Camada nova da V100 | A V100 introduz uma camada intermediária entre a decisão local e qualquer leitura de plano futuro: a auditoria temporal da `decisao_local_v1`, que reaplica a sequência dos pagamentos sugeridos com depleção cumulativa da mesma fonte ao longo do tempo. | ## Papel da V100"
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V101.md,ESTRUTURA_REPOSITORIO_V101.md,estrutura_repositorio,101,V091_V120,9,762,Estrutura do repositório V101,"# Estrutura do repositório V101 | ## Camada nova da V101 | A V101 preserva a camada intermediária introduzida na V100 — a auditoria temporal da `decisao_local_v1` — e adiciona uma segunda camada separada, de `reescolha_dinamica_pos_quebra`, que recomputa a melhor fonte local quando a sugestão original deixa de ser coerente na sequência. | ## Papel da V101"
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V103.md,ESTRUTURA_REPOSITORIO_V103.md,estrutura_repositorio,103,V091_V120,17,890,ESTRUTURA DO REPOSITÓRIO V103,"# ESTRUTURA DO REPOSITÓRIO V103 | ## Nova camada adicionada | A V103 adiciona a camada `nucleo/heuristica_conjunta_parcial_bloco_critico.py`, acoplada ao `ContextoBaseline` sem alterar o motor principal. | ## Novos pontos de integração"
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V104.md,ESTRUTURA_REPOSITORIO_V104.md,estrutura_repositorio,104,V091_V120,10,498,ESTRUTURA DO REPOSITÓRIO V104,"# ESTRUTURA DO REPOSITÓRIO V104 | A V104 adiciona a camada `nucleo/planejamento_conjunto_local_bloco_critico_v1.py`, acoplada ao `ContextoBaseline` sem alterar o motor principal. | ## Novos pontos estruturais | - `nucleo/planejamento_conjunto_local_bloco_critico_v1.py` | - `scripts/diagnostico/inspecionar_planejamento_conjunto_local_bloco_critico_v1.py`"
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V105.md,ESTRUTURA_REPOSITORIO_V105.md,estrutura_repositorio,105,V091_V120,13,508,Estrutura da V105,# Estrutura da V105 | ## Novos arquivos principais | - `nucleo/microplanejamento_conjunto_bloco_critico_v2.py` | - `scripts/diagnostico/inspecionar_microplanejamento_conjunto_bloco_critico_v2.py` | - `scripts/inspecionar_microplanejamento_conjunto_bloco_critico_v2.py` | ## Pontos de integração
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V106.md,ESTRUTURA_REPOSITORIO_V106.md,estrutura_repositorio,106,V091_V120,22,855,Estrutura da V106,# Estrutura da V106 | ## Arquivos novos principais | - `relatorios/atuais/METRICA_CANONICA_MINIMA_CENTRAL.md` | - `relatorios/atuais/SANEAMENTO_CONTRATUAL_V106.md` | - `relatorios/atuais/BASELINE_FIXA_V106.md` | - `relatorios/atuais/VALIDACAO_LOCAL_V106.md` | - `relatorios/atuais/ESTRUTURA_REPOSITORIO_V106.md`
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V107.md,ESTRUTURA_REPOSITORIO_V107.md,estrutura_repositorio,107,V091_V120,15,579,Estrutura da V107,# Estrutura da V107 | ## Arquivos novos/centrais | - `nucleo/recomputacao_sequencial_central_v1.py` | - `scripts/diagnostico/inspecionar_recomputacao_sequencial_central_v1.py` | - `scripts/inspecionar_recomputacao_sequencial_central_v1.py` | - `relatorios/atuais/RECOMPUTACAO_SEQUENCIAL_CENTRAL_V107.md`
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V108.md,ESTRUTURA_REPOSITORIO_V108.md,estrutura_repositorio,108,V091_V120,13,564,Estrutura da V108,# Estrutura da V108 | Arquivos centrais adicionados/atualizados nesta baseline: | - `nucleo/recomputacao_sequencial_central_v1.py` | - `scripts/diagnostico/inspecionar_recomputacao_sequencial_central_v1.py` | - `scripts/inspecionar_recomputacao_sequencial_central_v1.py` | - `relatorios/atuais/RECOMPUTACAO_SEQUENCIAL_CENTRAL_V108.md`
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V114.md,ESTRUTURA_REPOSITORIO_V114.md,estrutura_repositorio,114,V091_V120,14,447,Estrutura repositório V114,# Estrutura repositório V114 | Principais acréscimos: | - `nucleo/motor_recomendacao_pagamentos_switching_v1.py` | - `scripts/diagnostico/inspecionar_motor_recomendacao_pagamentos_switching_v1.py` | - `scripts/inspecionar_motor_recomendacao_pagamentos_switching_v1.py`
relatorios/historico/estruturas/ESTRUTURA_REPOSITORIO_V115.md,ESTRUTURA_REPOSITORIO_V115.md,estrutura_repositorio,115,V091_V120,21,842,Estrutura repositório V115,# Estrutura repositório V115 | Principais ajustes: | - `scripts/diagnostico/_bootstrap.py` | - `relatorios/atuais/REORGANIZACAO_REPOSITORIO_V115.md` | - `relatorios/atuais/BASELINE_FIXA_V115.md` | - `relatorios/atuais/VALIDACAO_LOCAL_V115.md`
