arquivo,nome,tipo,versao_detectada,faixa_versao,linhas,tamanho_bytes,titulo,primeiras_linhas
relatorios/historico/validacoes/VALIDACAO_LOCAL_V10.md,VALIDACAO_LOCAL_V10.md,validacao_local,10,V001_V030,32,1038,Validação local V10,# Validação local V10 | Esta validação foi executada no ambiente disponível antes da entrega da V10. | ## Comandos executados | ```bash | python aplicacao/principal.py
relatorios/historico/validacoes/VALIDACAO_LOCAL_V100.md,VALIDACAO_LOCAL_V100.md,validacao_local,100,V091_V120,15,592,Validação local V100,# Validação local V100 | ## Execuções mínimas realizadas | - `python aplicacao/console/principal.py`; | - `python scripts/operacional/gerar_planilha_operacional.py`; | - `python scripts/diagnostico/inspecionar_auditoria_temporal_decisao_local.py`; | - `python scripts/diagnostico/verificar_release_baseline.py`.
relatorios/historico/validacoes/VALIDACAO_LOCAL_V101.md,VALIDACAO_LOCAL_V101.md,validacao_local,101,V091_V120,9,381,Validação local V101,# Validação local V101 | ## Resultado esperado da V101 | - baseline V101 compilando e executando; | - console principal exibindo a nova seção de reescolha dinâmica pós-quebra; | - planilha operacional gerando colunas dinâmicas no `Extrato futuro` e a nova aba `Reescolha dinâmica`; | - diagnóstico dedicado da reescolha dinâmica executando;
relatorios/historico/validacoes/VALIDACAO_LOCAL_V103.md,VALIDACAO_LOCAL_V103.md,validacao_local,103,V091_V120,16,684,VALIDAÇÃO LOCAL V103,# VALIDAÇÃO LOCAL V103 | ## Validação mínima executada | - `python scripts/diagnostico/inspecionar_heuristica_conjunta_parcial_bloco_critico.py` | - `python aplicacao/console/principal.py` | - `python scripts/operacional/gerar_planilha_operacional.py` | - `python scripts/diagnostico/verificar_release_baseline.py`
relatorios/historico/validacoes/VALIDACAO_LOCAL_V104.md,VALIDACAO_LOCAL_V104.md,validacao_local,104,V091_V120,14,513,VALIDAÇÃO LOCAL V104,# VALIDAÇÃO LOCAL V104 | A V104 foi validada localmente com: | - `python aplicacao/console/principal.py` | - `python scripts/operacional/gerar_planilha_operacional.py` | - `python scripts/diagnostico/inspecionar_planejamento_conjunto_local_bloco_critico_v1.py` | - `python scripts/diagnostico/verificar_release_baseline.py`
relatorios/historico/validacoes/VALIDACAO_LOCAL_V105.md,VALIDACAO_LOCAL_V105.md,validacao_local,105,V091_V120,10,515,Validação local V105,# Validação local V105 | ## Comandos principais | - `python aplicacao/console/principal.py` | - `python scripts/operacional/gerar_planilha_operacional.py` | - `python scripts/diagnostico/inspecionar_microplanejamento_conjunto_bloco_critico_v2.py` | - `python scripts/diagnostico/verificar_release_baseline.py`
relatorios/historico/validacoes/VALIDACAO_LOCAL_V106.md,VALIDACAO_LOCAL_V106.md,validacao_local,106,V091_V120,13,485,Validação local V106,# Validação local V106 | ## Comandos principais | - `python scripts/operacional/gerar_planilha_operacional.py` | - `python scripts/diagnostico/verificar_release_baseline.py` | ## Objetivo da validação | Confirmar que a V106:
relatorios/historico/validacoes/VALIDACAO_LOCAL_V107.md,VALIDACAO_LOCAL_V107.md,validacao_local,107,V091_V120,10,261,Validação local V107,# Validação local V107 | ## Objetivo | Confirmar que a V107: | - executa console e planilha; | - materializa `recomputacao_sequencial_central_v1`;
relatorios/historico/validacoes/VALIDACAO_LOCAL_V108.md,VALIDACAO_LOCAL_V108.md,validacao_local,108,V091_V120,8,365,Validação local V108,# Validação local V108 | A V108 deve validar localmente que: | - a `recomputacao_sequencial_central_v1` executa com a nova régua central mínima; | - o console exibe a seção atualizada da frente central; | - a planilha operacional inclui as colunas novas da camada central; | - o gate `verificar_release_baseline.py` fecha em OK após limpeza dos artefatos efêmeros.
relatorios/historico/validacoes/VALIDACAO_LOCAL_V11.md,VALIDACAO_LOCAL_V11.md,validacao_local,11,V001_V030,37,1148,Validação local V11,# Validação local V11 | Esta validação foi executada no ambiente disponível antes da entrega da V11. | ## Comandos executados | ```bash | python aplicacao/principal.py
