id,bloco,controle,comando_validacao,arquivo_ou_saida,evidencia,status,severidade,observacao_tecnica
N1,Execucao,"Execução principal disponível e rastreável","rg -n \"python scripts/operacional/gerar_planilha_operacional.py\" README.md",README.md,"Comando oficial encontrado no README",PASS,baixa,"Rastreabilidade documental confirmada"
N2,Execucao,"Console principal gera saída sem erro fatal","python aplicacao/principal.py > relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/evidencias/console_execucao.txt 2>&1",relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/evidencias/console_execucao.txt,"ModuleNotFoundError: No module named 'scipy'",FAIL,critica,"Falha fatal antes da materialização de saída"
N3,Execucao,"Planilha/saída final é gerada ou motivo documentado","python scripts/operacional/gerar_planilha_operacional.py > relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/evidencias/planilha_execucao.txt 2>&1",relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/evidencias/planilha_execucao.txt,"ModuleNotFoundError: No module named 'scipy' (motivo documentado)",FAIL,critica,"Sem geração de planilha nesta rodada"
N4,Pagamentos,"Pagamentos processados têm fonte/lote identificável","N/A (execução bloqueada)",N/A,"Sem execução numérica concluída para avaliar amostras de pagamento",NA,alta,"Dependente da geração de saída"
N5,Switching,"Switching aparece associado à conta/cenário","N/A (execução bloqueada)",N/A,"Sem execução numérica concluída para avaliar switching",NA,alta,"Dependente da geração de saída"
N6,Pagamentos,"Combinação mínima não cobre pagamento de forma parcial indevida","N/A (execução bloqueada)",N/A,"Sem evidência numérica nova nesta rodada",NA,alta,"Dependente da geração de saída"
N7,Temporal,"Recebidos futuros não são usados antes da disponibilidade","N/A (execução bloqueada)",N/A,"Sem trilha de execução diária para verificar temporalidade",NA,alta,"Dependente da geração de saída"
N8,Temporal,"Ordem intradiária por pacote coerente com contrato","N/A (execução bloqueada)",N/A,"Sem cenários executados para inspeção numérica",NA,media,"Dependente da geração de saída"
N9,Residuos,"Resíduos resolvidos não aparecem como saldo material indevido","N/A (execução bloqueada)",N/A,"Sem extrato/planilha nova para checagem",NA,media,"Dependente da geração de saída"
N10,Saida,"Saída canônica usada como camada única de apresentação","rg -n \"construir_saida_canonica\" scripts/operacional/gerar_planilha_operacional.py aplicacao/console/principal.py","scripts/operacional/gerar_planilha_operacional.py;aplicacao/console/principal.py","Chamadas diretas a construir_saida_canonica em ambos pontos de entrada",PASS,baixa,"Conformidade estrutural preservada"
N11,Convergencia,"Sem divergência óbvia entre documental aprovado e execução numérica","N/A (execução bloqueada)",N/A,"Não foi possível obter execução numérica para comparação",NA,alta,"Bloqueio de dependência inviabilizou comparação"
N12,Governanca,"Decisão GO/NO-GO numérica registrada","Preenchimento do artefato 04_decisao_go_no_go_numerica.md",relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/04_decisao_go_no_go_numerica.md,"Decisão final registrada",PASS,baixa,"Governança da rodada preservada"
