arquivo,nome,classe_preliminar,versao_max_detectada,extensao,linhas,tamanho_bytes,titulo
relatorios/atuais/AUDITORIA_CAMADA_SAIDA_CANONICA_V202.md,AUDITORIA_CAMADA_SAIDA_CANONICA_V202.md,MATERIAL_LIMPEZA_AUDITORIA,202,.md,85,3463,AUDITORIA E IMPLEMENTAÇÃO — CAMADA ÚNICA DE SAÍDA CANÔNICA V202
relatorios/atuais/AUDITORIA_CONSOLE_DIAGNOSTICO_V216.md,AUDITORIA_CONSOLE_DIAGNOSTICO_V216.md,MATERIAL_LIMPEZA_AUDITORIA,216,.md,73,24262,AUDITORIA DO CONSOLE E DOS DIAGNÓSTICOS V216
relatorios/atuais/AUDITORIA_IMPACTO_CONTAS_FUTURAS_V217.md,AUDITORIA_IMPACTO_CONTAS_FUTURAS_V217.md,MATERIAL_LIMPEZA_AUDITORIA,217,.md,43,1824,AUDITORIA DE IMPACTO SOBRE CONTAS FUTURAS — V217
relatorios/atuais/AUDITORIA_LIMPEZA_RESIDUAL_V201.md,AUDITORIA_LIMPEZA_RESIDUAL_V201.md,MATERIAL_LIMPEZA_AUDITORIA,201,.md,55,3846,AUDITORIA E LIMPEZA RESIDUAL — V201
relatorios/atuais/BACKLOG_CONTRATUAL_FASES_FUTURAS.md,BACKLOG_CONTRATUAL_FASES_FUTURAS.md,DOCUMENTO_VIGENTE_CANDIDATO,,.md,88,5731,Backlog contratual das fases futuras
relatorios/atuais/BASELINE_FUNCIONAL_ESTAVEL_V225.md,BASELINE_FUNCIONAL_ESTAVEL_V225.md,REVISAO_MANUAL,225,.md,43,1209,BASELINE FUNCIONAL ESTÁVEL — V225
relatorios/atuais/CONSOLIDACAO_NOMINAL_GATE_IMPACTO_V223.md,CONSOLIDACAO_NOMINAL_GATE_IMPACTO_V223.md,REVISAO_MANUAL,223,.md,34,967,CONSOLIDAÇÃO NOMINAL DO IMPACTO E GATE ECONÔMICO — V223
relatorios/atuais/CONTRATO_OPERACIONAL_PROJETO.md,CONTRATO_OPERACIONAL_PROJETO.md,DOCUMENTO_VIGENTE_CANDIDATO,,.md,796,25044,CONTRATO OPERACIONAL MESTRE DO PROJETO `payment-investment-allocation` — V183
relatorios/atuais/CORRECAO_CALCULO_DIAS_LOTES_V218.md,CORRECAO_CALCULO_DIAS_LOTES_V218.md,REVISAO_MANUAL,218,.md,92,2756,CORREÇÃO DO CÁLCULO DE DIAS CORRIDOS E DIAS ÚTEIS — V218
relatorios/atuais/CORRECAO_CIRURGICA_V200.md,CORRECAO_CIRURGICA_V200.md,REVISAO_MANUAL,200,.md,22,1157,Correção cirúrgica V200
relatorios/atuais/CORRECAO_REPRODUTIBILIDADE_DIAS_LOTES_V219.md,CORRECAO_REPRODUTIBILIDADE_DIAS_LOTES_V219.md,REVISAO_MANUAL,219,.md,59,1466,CORREÇÃO DE REPRODUTIBILIDADE E IDADE FISCAL DOS LOTES — V219
relatorios/atuais/CORRECAO_SALDOS_FUTUROS_LOTES_V208.md,CORRECAO_SALDOS_FUTUROS_LOTES_V208.md,REVISAO_MANUAL,208,.md,49,1760,CORREÇÃO SALDOS FUTUROS DE LOTES — V208
relatorios/atuais/ESPECIFICACAO_SAIDA_OFICIAL.md,ESPECIFICACAO_SAIDA_OFICIAL.md,REVISAO_MANUAL,,.md,331,7760,ESPECIFICAÇÃO DA SAÍDA OFICIAL — V189
relatorios/atuais/GATE_ECONOMICO_APORTES_PLANEJADOS_V220.md,GATE_ECONOMICO_APORTES_PLANEJADOS_V220.md,REVISAO_MANUAL,220,.md,12,516,GATE ECONÔMICO DOS APORTES PLANEJADOS — V220
relatorios/atuais/GOVERNANCA_ESTRUTURAL_V206.md,GOVERNANCA_ESTRUTURAL_V206.md,DOCUMENTO_VIGENTE_CANDIDATO,206,.md,46,1522,Governança estrutural V206
relatorios/atuais/GOVERNANCA_FINAL_SCRIPTS_V204.md,GOVERNANCA_FINAL_SCRIPTS_V204.md,DOCUMENTO_VIGENTE_CANDIDATO,204,.md,43,1597,GOVERNANÇA FINAL DE SCRIPTS — V204
relatorios/atuais/GOVERNANCA_SCRIPTS_V203.md,GOVERNANCA_SCRIPTS_V203.md,DOCUMENTO_VIGENTE_CANDIDATO,203,.md,87,2780,Governança de scripts — V203
relatorios/atuais/HOTFIX_CONSOLE_IMPORTS_V205.md,HOTFIX_CONSOLE_IMPORTS_V205.md,REVISAO_MANUAL,205,.md,73,1254,HOTFIX_CONSOLE_IMPORTS_V205
relatorios/atuais/HOTFIX_FLUXO_EFETIVO_GATE_ECONOMICO_V222.md,HOTFIX_FLUXO_EFETIVO_GATE_ECONOMICO_V222.md,REVISAO_MANUAL,222,.md,49,1027,HOTFIX V222 — FLUXO EFETIVO DO GATE ECONÔMICO
relatorios/atuais/HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,DOCUMENTO_VIGENTE_CANDIDATO,224,.md,41,886,HOTFIX V224 — LIMPEZA PRÉ-RELEASE DE ARTEFATOS EFÊMEROS
relatorios/atuais/HOTFIX_RESOLVER_CSV_GATE_ECONOMICO_V221.md,HOTFIX_RESOLVER_CSV_GATE_ECONOMICO_V221.md,REVISAO_MANUAL,221,.md,31,727,HOTFIX V221 — RESOLVER DE CSVs DO GATE ECONÔMICO
relatorios/atuais/HOTFIX_UTILITARIOS_SERIES_V207.md,HOTFIX_UTILITARIOS_SERIES_V207.md,REVISAO_MANUAL,207,.md,47,1436,HOTFIX_UTILITARIOS_SERIES_V207
relatorios/atuais/INDICE_MESTRE_BASELINES_HISTORICAS.md,INDICE_MESTRE_BASELINES_HISTORICAS.md,INDICE_RASTREABILIDADE,,.md,61,4301,Índice-mestre — baselines históricas consolidadas
