arquivo,nome,linhas,tamanho_bytes,titulo,primeiras_linhas
relatorios/historico/reorganizacao_local_switching/AUDITORIA_CONGELAMENTO_APLICAR_SWITCHING_EVENTOS_V174.md,AUDITORIA_CONGELAMENTO_APLICAR_SWITCHING_EVENTOS_V174.md,90,4911,Auditoria de congelamento estrutural de `_aplicar_switching_eventos(...)` — V174,"# Auditoria de congelamento estrutural de `_aplicar_switching_eventos(...)` — V174 | ## Baseline auditada | - Baseline operacional real considerada: **V162** | - Derivação imediatamente auditada: **V173** | - Escopo desta auditoria: decidir se `_aplicar_switching_eventos(...)` já atingiu ponto de **congelamento estrutural** nesta rodada, antes de qualquer discussão sobre camadas mais sensíveis. | ## Conclusão objetiva | **Sim. `_aplicar_switching_eventos(...)` já pode ser congelada estruturalmente nesta rodada.** | A função ainda possui algum espalhamento de assinatura e duplicação de coordenação entre os ramos de `aporte_nao_aportado` e `switching`, mas o ganho restante **já não é de microextração local neutra**. O próximo passo para reduzi-la exigiria uma reorganização de coordenação mais ampla, com risco maior de encostar no contrato funcional do motor."
relatorios/historico/reorganizacao_local_switching/AUDITORIA_CONGELAMENTO_SWITCHING_PARCIAL_V172.md,AUDITORIA_CONGELAMENTO_SWITCHING_PARCIAL_V172.md,67,3334,Auditoria técnica V172 — congelamento local de `_aplicar_switching_parcial_no_lote(...)`,"# Auditoria técnica V172 — congelamento local de `_aplicar_switching_parcial_no_lote(...)` | ## Baseline auditada | - Baseline operacional: V171 | - Arquivo auditado: `nucleo/simulador_central_eventos_v1.py` | - Fronteira avaliada: `_aplicar_switching_parcial_no_lote(...)` | - Escopo permitido: auditoria estrutural local sem tocar em `_valor_terminal_estimado_lote`, `_calcular_metrica`, `_patrimonio_terminal_proxy` ou `simular_cenario_eventos_v1` | ## Pergunta da etapa | Verificar se `_aplicar_switching_parcial_no_lote(...)` já está modularizado o suficiente para congelar a frente local, ou se ainda vale uma última microextração apenas do `append`/persistência do novo lote destino no estado."
relatorios/historico/reorganizacao_local_switching/AUDITORIA_ORQUESTRADOR_LOCAL_SWITCHING_V173.md,AUDITORIA_ORQUESTRADOR_LOCAL_SWITCHING_V173.md,49,2132,Auditoria técnica V173 — `_aplicar_efeito_evento_switching(...)`,"# Auditoria técnica V173 — `_aplicar_efeito_evento_switching(...)` | ## Objetivo | Auditar se `_aplicar_efeito_evento_switching(...)` já podia ser tratado como orquestrador local estável e congelável, ou se ainda havia uma microredução segura de assinatura/ramificação. | ## Conclusão | A função **ainda não estava no melhor ponto de congelamento** na V172, porque mantinha um ramo inline relevante para `aporte_nao_aportado`, enquanto `switching_integral` e `switching_parcial` já estavam delegados para helpers dedicados. | Foi aplicada uma **última microredução segura de ramificação**, sem alterar contrato funcional, lógica econômica, semântica do pós-vencimento, valoração terminal global ou executor central. | ## Mudança implementada | Foram extraídos dois helpers locais:"
relatorios/historico/reorganizacao_local_switching/EXTRACAO_APLICACAO_EFEITO_EVENTO_SWITCHING_V163.md,EXTRACAO_APLICACAO_EFEITO_EVENTO_SWITCHING_V163.md,72,2917,Auditoria e microextração local da aplicação final do efeito do evento — V163,"# Auditoria e microextração local da aplicação final do efeito do evento — V163 | ## Baseline operacional | - Base utilizada: **V162** | - Arquivo-alvo: `nucleo/simulador_central_eventos_v1.py` | - Objetivo: reduzir acoplamento local dentro de `_aplicar_switching_eventos` sem alterar o contrato funcional do motor. | ## Auditoria técnica objetiva | A mutação final do lote/estado dentro de `_aplicar_switching_eventos` mostrou uma fronteira semântica suficientemente estável para uma microextração local segura, porque: | 1. **Os insumos econômicos já chegam resolvidos antes da mutação**:"
relatorios/historico/reorganizacao_local_switching/EXTRACAO_BUILDER_ESTADO_SIMULADOR_V158.md,EXTRACAO_BUILDER_ESTADO_SIMULADOR_V158.md,39,1649,Extração do builder de estado do simulador central — V158,"# Extração do builder de estado do simulador central — V158 | Baseline estrutural utilizada: V157. | ## Escopo | Extração isolada de `construir_estado_global_recorte_curto_v117` para um módulo dedicado de builder, com wrapper de compatibilidade preservado em `nucleo/simulador_central_eventos_v1.py`. | ## O que foi feito | - criado `nucleo/builders/` | - criado `nucleo/builders/simulador_central_estado_v117.py` | - `construir_estado_global_recorte_curto_v117` no simulador central agora delega para o módulo novo"
relatorios/historico/reorganizacao_local_switching/EXTRACAO_CAMADA_COMUM_DESTINO_SWITCHING_V170.md,EXTRACAO_CAMADA_COMUM_DESTINO_SWITCHING_V170.md,43,1693,V170 — Extração de camada comum neutra entre parcial e integral,"# V170 — Extração de camada comum neutra entre parcial e integral | ## Objetivo | Auditar se a montagem do payload do lote destino no switching parcial e a montagem do payload de mutação no switching integral já podiam compartilhar uma camada local ainda mais neutra de campos comuns, sem tocar em `_valor_terminal_estimado_lote`, `_calcular_metrica`, `_patrimonio_terminal_proxy` ou `simular_cenario_eventos_v1`. | ## Conclusão | A fronteira foi considerada segura. | O núcleo compartilhável encontrado é estritamente estrutural: | - identificação do produto destino | - campos de valor do lote destino já calculados"
relatorios/historico/reorganizacao_local_switching/EXTRACAO_HELPERS_INTEGRAL_PARCIAL_APLICAR_SWITCHING_V162.md,EXTRACAO_HELPERS_INTEGRAL_PARCIAL_APLICAR_SWITCHING_V162.md,39,2045,Extração local entre switching integral e parcial no simulador central — V162,"# Extração local entre switching integral e parcial no simulador central — V162 | ## Observação de baseline | O arquivo .zip da V161 não estava disponível no ambiente desta execução. | Para não bloquear a etapa, a alteração foi aplicada sobre a baseline estrutural acessível mais próxima (**V158**), reconstruindo localmente as microextrações intermediárias necessárias no mesmo módulo e executando apenas a separação pedida nesta etapa. | ## Escopo da etapa | Microextração local dentro de `nucleo/simulador_central_eventos_v1.py`, sem mover a função principal `_aplicar_switching_eventos` e sem alterar o cálculo fiscal, a valoração do destino, a valoração terminal ou o executor central. | ## Helpers locais adicionados | - `_preparar_evento_executavel_no_dia`"
relatorios/historico/reorganizacao_local_switching/EXTRACAO_HISTORICO_EXECUTADOS_ACUMULADORES_V164.md,EXTRACAO_HISTORICO_EXECUTADOS_ACUMULADORES_V164.md,39,1509,"V164 — extração local de histórico, executados e acumuladores no simulador central","# V164 — extração local de histórico, executados e acumuladores no simulador central | ## Baseline | - baseline operacional real: V162 | - derivação imediata aplicada sobre a V163 | ## Escopo desta microextração | Auditar e, sendo seguro, extrair a instrumentação pós-execução dentro de `_aplicar_switching_eventos`, cobrindo apenas: | - registro em `historico` | - registro em `executados`"
relatorios/historico/reorganizacao_local_switching/EXTRACAO_MUTACAO_LOTE_ORIGEM_SWITCHING_PARCIAL_V171.md,EXTRACAO_MUTACAO_LOTE_ORIGEM_SWITCHING_PARCIAL_V171.md,73,2861,EXTRAÇÃO DA MUTAÇÃO DO LOTE DE ORIGEM NO SWITCHING PARCIAL — V171,"# EXTRAÇÃO DA MUTAÇÃO DO LOTE DE ORIGEM NO SWITCHING PARCIAL — V171 | ## Baseline | - Baseline operacional real considerada: V170 | - Derivação gerada: V171 | ## Objetivo da microetapa | Auditar se a mutação do lote de origem no ramo de `switching_parcial` já podia ser isolada em um helper local próprio, sem tocar em: | - `_valor_terminal_estimado_lote` | - `_calcular_metrica`"
relatorios/historico/reorganizacao_local_switching/EXTRACAO_PAYLOAD_MUTACAO_SWITCHING_INTEGRAL_V169.md,EXTRACAO_PAYLOAD_MUTACAO_SWITCHING_INTEGRAL_V169.md,82,3165,Extração local do payload de mutação do ramo `switching_integral` — V169,"# Extração local do payload de mutação do ramo `switching_integral` — V169 | ## Baseline operacional usada nesta entrega | No ambiente local desta conversa, o último pacote efetivamente acessível para edição foi a derivação visível do simulador central já contendo as microextrações anteriores registradas até a V164. | A auditoria e a microextração desta entrega foram aplicadas cirurgicamente sobre esse código visível do módulo `nucleo/simulador_central_eventos_v1.py`, preservando o mesmo objetivo estrutural que vinha sendo seguido na trilha incremental da V162 em diante. | ## Objetivo desta microetapa | Auditar se o ramo `switching_integral` já podia ser aproximado da mesma estrutura local de aplicação usada no parcial, **sem** tocar em: | - `_valor_terminal_estimado_lote` | - `_calcular_metrica`"
relatorios/historico/reorganizacao_local_switching/EXTRACAO_RUNNER_SIMULADOR_CENTRAL_V157.md,EXTRACAO_RUNNER_SIMULADOR_CENTRAL_V157.md,26,1447,Extração do runner do simulador central — V157,"# Extração do runner do simulador central — V157 | ## Objetivo | Extrair apenas `rodar_integracao_funcional_minima_v117` de `nucleo/simulador_central_eventos_v1.py` para um módulo próprio de runner, preservando compatibilidade e sem mover builder de estado, switching ou valoração terminal. | ## Mudanças aplicadas | - novo pacote `nucleo/runners/` | - novo módulo `nucleo/runners/simulador_central_runner_v117.py` | - novo `nucleo/runners/README.md` | - `nucleo/simulador_central_eventos_v1.py` agora mantém apenas um wrapper de compatibilidade para `rodar_integracao_funcional_minima_v117`"
