rodada_id,modulo,id_item,categoria,regra,status,evidencia_arquivo,evidencia_linha_inicio,evidencia_linha_fim,comando_validacao,resultado_comando,severidade,responsavel,observacao,acao_corretiva,deadline
RD-2026-04-28-01,TRANSVERSAL,A1,critico,"Verificação inicial de contas no dia (I_t^pay) antes da resolução",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,51,67,"rg -n -F -e ""I_t^{pay}"" relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md",ok,critico,Codex,"Regra explícita no modelo",,
RD-2026-04-28-01,TRANSVERSAL,A2,critico,"Pacotes conforme cenário: sem conta(no_action,switch_only) / com conta(pay_only,switch_then_pay,pay_then_switch)",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,73,85,"rg -n -F -e ""no_action"" -e ""switch_only"" -e ""pay_only"" -e ""switch_then_pay"" -e ""pay_then_switch"" relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md",ok,critico,Codex,"Pacotes normativos encontrados",,
RD-2026-04-28-01,TRANSVERSAL,A3,critico,"Seleção por argmax de Z_t^(k)",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,90,90,"rg -n -F -e arg\\max",ok,critico,Codex,"Equação de seleção encontrada",,
RD-2026-04-28-01,TRANSVERSAL,A4,critico,"Restrições de liquidez/carência/fiscalidade/cronologia/auditabilidade",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,31,40,"rg -n -F -e ""liquidez"" -e ""carência"" -e ""fiscalidade"" relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md",ok,critico,Codex,"Restrições explícitas",,
RD-2026-04-28-01,TRANSVERSAL,A5,critico,"Limiar monetário oficial: delta_res=0.20, delta_ativo=0.20, delta_mon=0.01",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,101,103,"rg -n -F -e ""delta_{res}"" -e ""delta_{ativo}"" -e ""delta_{mon}"" relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md",ok,critico,Codex,"Parâmetros fixos presentes",,
RD-2026-04-28-01,TRANSVERSAL,A6,critico,"Factibilidade explícita de switch_then_pay",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,621,634,"rg -n -F -e ""Factibilidade explícita do pacote"" relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md",ok,critico,Codex,"Gate de factibilidade explícito",,
RD-2026-04-28-01,TRANSVERSAL,A7,critico,"Conservação de valor por fonte: Q + Ssw + s = B(t)",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,675,705,"rg -n -F -e ""Q_i^{(k)} + S_i^{sw,(k)} + s_i^{(k)} = B_i(t)"" relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md",ok,critico,Codex,"Invariante explícito",,
RD-2026-04-28-01,aplicacao/principal.py,B1.1,modulo,"Orquestração console + planilha em sequência oficial",PASS,aplicacao/principal.py,16,18,"rg -n -e ""main_console"" -e ""main_planilha"" aplicacao/principal.py",ok,alto,Codex,"Fluxo principal confirmado",,
RD-2026-04-28-01,nucleo/runner_validacao_diaria_operacional_v177.py,B2.1,modulo,"Integração com motor_diario para seleção de cenários/pacotes",PASS,nucleo/runner_validacao_diaria_operacional_v177.py,14,18,"rg -n -e ""_cenarios_switching_diario_v143"" -e ""_selecionar_vencedor_pacote"" nucleo/runner_validacao_diaria_operacional_v177.py",ok,alto,Codex,"Integração por imports+uso",,
RD-2026-04-28-01,nucleo/runner_validacao_diaria_operacional_v177.py,B2.2,modulo,"Ativação de recebidos futuros e normalização pós-vencimento",PASS,nucleo/runner_validacao_diaria_operacional_v177.py,323,324,"rg -n -e ""_normalizar_lote_pos_vencimento_no_dia"" -e ""_ativar_recebidos_futuros_no_dia"" nucleo/runner_validacao_diaria_operacional_v177.py",ok,alto,Codex,"Eventos temporais usados no loop diário",,
RD-2026-04-28-01,nucleo/runner_validacao_diaria_operacional_v177.py,B2.3,modulo,"Trilha auditável de pagamento/switching",PASS,nucleo/runner_validacao_diaria_operacional_v177.py,61,217,"rg -n -e ""_resumir_pagamento_vencedor"" -e ""_resumir_cenario_switching"" nucleo/runner_validacao_diaria_operacional_v177.py",ok,alto,Codex,"Estruturas de resumo presentes",,
RD-2026-04-28-01,nucleo/motor_diario/*,B3.1,modulo,"Fronteiras de responsabilidade respeitadas",PASS,nucleo/motor_diario/README.md,5,10,"cat nucleo/motor_diario/README.md",ok,medio,Codex,"Fronteiras documentadas",,
RD-2026-04-28-01,nucleo/motor_diario/*,B3.2,modulo,"Seleção do pacote vencedor aderente ao objetivo",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,784,810,"rg -n -F -e ""Função objetivo"" relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md",ok,alto,Codex,"Objetivo formal presente",,
RD-2026-04-28-01,nucleo/motor_diario/*,B3.3,modulo,"Ordem intradiária por pacote preservada",PASS,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,748,780,"rg -n -F -e ""Ordem intradiária por pacote"" relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md",ok,alto,Codex,"Sequência normativa dos pacotes definida",,
RD-2026-04-28-01,nucleo/saida_canonica.py,B4.1,modulo,"Camada única de saída (sem recálculo paralelo)",PASS,relatorios/atuais/LEIA-ME_OPERACIONAL.md,40,46,"rg -n -e ""camada única de saída"" -e ""construir_saida_canonica"" relatorios/atuais/LEIA-ME_OPERACIONAL.md nucleo/saida_canonica.py",ok,alto,Codex,"Diretriz operacional explícita",,
RD-2026-04-28-01,nucleo/saida_canonica.py,B4.2,modulo,"Estrutura canônica completa de artefatos",PASS,nucleo/saida_canonica.py,23,35,"rg -n -e ""PacoteSaidaCanonica"" nucleo/saida_canonica.py",ok,medio,Codex,"Dataclass canônica com campos principais",,
RD-2026-04-28-01,nucleo/saida_canonica.py,B4.3,modulo,"Uso do limiar oficial de resíduo",PASS,nucleo/saida_canonica.py,179,179,"rg -n -e ""obter_limiar_residuo_resolvido"" nucleo/saida_canonica.py",ok,alto,Codex,"Limiar carregado do contexto",,
RD-2026-04-28-01,nucleo/simulador_central_eventos_v1.py,B5.1,modulo,"Eventos temporais ativados no dia correto",PASS,nucleo/runner_validacao_diaria_operacional_v177.py,324,324,"rg -n -e ""_ativar_recebidos_futuros_no_dia"" nucleo/runner_validacao_diaria_operacional_v177.py",ok,alto,Codex,"Ativação diária vinculada ao dia",,
RD-2026-04-28-01,nucleo/simulador_central_eventos_v1.py,B5.2,modulo,"Reclassificação pós-vencimento no dia",PASS,nucleo/runner_validacao_diaria_operacional_v177.py,323,323,"rg -n -e ""_normalizar_lote_pos_vencimento_no_dia"" nucleo/runner_validacao_diaria_operacional_v177.py",ok,alto,Codex,"Normalização diária chamada",,
RD-2026-04-28-01,nucleo/utilitarios_neutros.py,B6.1,modulo,"Centralização de helpers sem duplicidade",PASS,relatorios/atuais/LEIA-ME_OPERACIONAL.md,50,57,"rg -n -F -e ""nucleo/utilitarios_neutros.py"" relatorios/atuais/LEIA-ME_OPERACIONAL.md",ok,medio,Codex,"Centralização estrutural documentada",,
