arquivo,nome,linhas,tamanho_bytes,tema_classificado,titulo,primeiras_linhas
relatorios/historico/auditorias_especificas/temporal/AUDITORIA_CIRURGICA_42_CASOS_REAPROVEITAVEIS.md,AUDITORIA_CIRURGICA_42_CASOS_REAPROVEITAVEIS.md,32,1285,auditoria_temporal_geral,Auditoria cirúrgica dos 42 casos reaproveitáveis — proxy v3 vs benchmark híbrido shadow,# Auditoria cirúrgica dos 42 casos reaproveitáveis — proxy v3 vs benchmark híbrido shadow | ## Escopo | Esta auditoria aprofunda **apenas** os casos já classificados na V79 como `potencial_reaproveitamento_proxy_v3`. | Ela **não** altera o fluxo principal e **não** substitui automaticamente o `proxy v3`. | ## Objetivo | Separar os 42 casos reaproveitáveis em: | - padrão dominante realmente promissor; | - casos isolados reaproveitáveis;
relatorios/historico/auditorias_especificas/temporal/AUDITORIA_CIRURGICA_BLOCO_8500_PICPAY_V131.md,AUDITORIA_CIRURGICA_BLOCO_8500_PICPAY_V131.md,121,8939,casos_cirurgicos_lotes,Auditoria cirúrgica do bloco 2026-05-13 a 2026-05-20 — V131,# Auditoria cirúrgica do bloco 2026-05-13 a 2026-05-20 — V131 | ## Objetivo | Verificar se o cenário `Lote 8500 mar. -> Combo PicPay 100-120 3m` é realmente superior em patrimônio líquido terminal ou se continua vencendo apenas pela prioridade excessiva dada a déficit/cobertura na métrica lexicográfica central. | ## Base auditada | - Baseline de execução: **V130** | - Fonte: `grade_diaria_parametrizada_v130_consolidado.json` | - Janela auditada: **2026-05-13** a **2026-05-20** | - Cenários auditados: **24** (3 por dia)
relatorios/historico/auditorias_especificas/temporal/AUDITORIA_COMPARADOR_MOTOR_RECOMENDACAO_V116.md,AUDITORIA_COMPARADOR_MOTOR_RECOMENDACAO_V116.md,33,1806,motor_recomendacao_pagamentos_switching,Auditoria cirúrgica do comparador do `motor_recomendacao_pagamentos_switching_v1` — V116,"# Auditoria cirúrgica do comparador do `motor_recomendacao_pagamentos_switching_v1` — V116 | ## Problema observado na V115 | O comparador local estava inflando `switching_simples` porque: | 1. reutilizava o mesmo lote em muitos pagamentos futuros como se o saldo continuasse íntegro em cada linha; | 2. projetava o ganho do shadow até a data do pagamento sem consumir temporalmente a capacidade do lote já recomendada antes; | 3. mantinha o switching competitivo mesmo quando a recomendação local anterior já havia esgotado, na prática, a capacidade do lote no horizonte curto. | ## Recalibração aplicada na V116 | 1. foi introduzido **saldo residual temporal por lote** dentro do motor;"
relatorios/historico/auditorias_especificas/temporal/AUDITORIA_FINA_TRANSICAO_DOMINANTE_3000B_8500MAR.md,AUDITORIA_FINA_TRANSICAO_DOMINANTE_3000B_8500MAR.md,34,1537,casos_cirurgicos_lotes,Auditoria fina da transição dominante — Lote 3000 mar. B -> Lote 8500 mar.,"# Auditoria fina da transição dominante — Lote 3000 mar. B -> Lote 8500 mar. | ## Escopo | Esta auditoria aprofunda **apenas** a transição dominante identificada na V80: | `Lote 3000 mar. B -> Lote 8500 mar.` | Ela **não** altera o fluxo principal, **não** substitui o `proxy v3` e **não** acopla o benchmark híbrido ao motor executável. | ## Objetivo | Responder se o sinal concentrado da V80 revela uma hipótese localizada realmente útil para eventual refinamento futuro do `proxy v3`, sem reabrir a decisão monofonte como um todo. | ## Resultado observado na V81"
relatorios/historico/auditorias_especificas/temporal/AUDITORIA_MULTIHORIZONTE_CENARIOS_TEMPO_V125.md,AUDITORIA_MULTIHORIZONTE_CENARIOS_TEMPO_V125.md,148,7405,planejamento_temporal_multihorizonte,Auditoria multihorizonte de cenários de tempo — V125,"# Auditoria multihorizonte de cenários de tempo — V125 | - Objetivo: ampliar a auditoria temporal do cenário conjunto, saindo dos horizontes isolados de 60/90/120 dias e testando uma grade mais rica de janelas. | - Pergunta central: quais switchings continuam vencedores quando a janela temporal muda de forma relevante, e se essa vitória é material ou apenas marginal. | - Fonte de destinos: `contexto_baseline.ranking_carteira.quadro_destinos_switch`. | - Execução desta auditoria: consolidada a partir de **rodadas segmentadas por horizonte**, para evitar ruído operacional de uma execução monolítica muito pesada no ambiente atual. | ## Grade temporal auditada | - 30, 45, 60, 75, 90, 120, 150, 180, 210, 240, 270 e 360 dias. | ## Síntese executiva"
relatorios/historico/auditorias_especificas/temporal/AUDITORIA_PARAMETROS_PRODUTOS_SWITCHING_V129.md,AUDITORIA_PARAMETROS_PRODUTOS_SWITCHING_V129.md,64,4214,parametros_produtos_switching,Auditoria de parâmetros de produtos no switching — V129,"# Auditoria de parâmetros de produtos no switching — V129 | - Objetivo: verificar se o switching diário está respeitando parâmetros reais dos produtos de destino, em especial ticket mínimo/máximo, antes de continuar a expansão temporal. | - Escopo desta rodada: auditoria estrutural do bug de elegibilidade e reavaliação focal da janela diária crítica de `2026-04-30` a `2026-05-02` usando os 5 produtos mais bem ranqueados da `Carteira`. | ## Achado estrutural principal | O fluxo temporal da V128 **não estava considerando corretamente o ticket mínimo do produto de destino**. O problema tinha duas fontes: | 1. parsing monetário inconsistente da coluna `Aplicação_Mínima` da aba `Carteira`; | 2. geração de cenários vencedores sem validação final do **valor total efetivamente alocado** contra o ticket do destino. | Isso afetava diretamente o caso do `CDB XP 150%`, que vinha aparecendo como destino vencedor mesmo quando o valor migrado não atingia o mínimo de R$ 10.000,00."
relatorios/historico/auditorias_especificas/temporal/AUDITORIA_RESIDUAL_DIVERGENCIAS_PROXY_V3_VS_HIBRIDO.md,AUDITORIA_RESIDUAL_DIVERGENCIAS_PROXY_V3_VS_HIBRIDO.md,51,2366,comparacao_proxy_hibrido,Auditoria residual das divergências materiais — proxy v3 vs benchmark híbrido shadow,# Auditoria residual das divergências materiais — proxy v3 vs benchmark híbrido shadow | ## Escopo | Esta auditoria residual aprofunda apenas os casos de **divergência material** já identificados na comparação entre a `decisao_local_v1` vigente com `proxy econômico v3` e o benchmark shadow do `resolver_hibrido_5p`. | Ela **não** altera o fluxo principal e **não** substitui automaticamente o `proxy v3`. | ## Resultado consolidado da V79 | - pagamentos comparados: **152** | - divergências materiais: **113** | - casos classificados como **potencial_reaproveitamento_proxy_v3**: **42**
relatorios/historico/auditorias_especificas/temporal/AVALIACAO_DIARIA_DATA_OTIMA_SWITCHING_V126.md,AVALIACAO_DIARIA_DATA_OTIMA_SWITCHING_V126.md,400,23539,grade_diaria_switching,Avaliação diária da data ótima de switching — V126,"# Avaliação diária da data ótima de switching — V126 | - Objetivo: testar diariamente, desde D0 até o fim do horizonte, qual é a melhor data de switching por lote e por agrupamento, mantendo a análise conjunta até o fim do período. | - Escopo: lotes já investidos, com comparação entre cenários isolados e agrupados, em modo integral e parcial 50%. | - Observação: esta primeira grade cobre isolado, pares entre os 3 lotes mais promissores do dia e grupo total dos candidatos positivos do dia; não faz busca exaustiva de todos os subconjuntos possíveis. | - Execução pesada: o código foi preparado para rodar em blocos e consolidar a grade diária por partes quando o ambiente interativo não suporta o horizonte completo em uma única passagem. | ## Janela auditada | - Data de referência: 2026-04-21 | - Janela total teórica do horizonte: 2026-04-21 → 2027-03-31"
relatorios/historico/auditorias_especificas/temporal/AVALIACAO_DIARIA_DATA_OTIMA_SWITCHING_V127.md,AVALIACAO_DIARIA_DATA_OTIMA_SWITCHING_V127.md,323,19794,grade_diaria_switching,Avaliação diária da data ótima de switching — V127,"# Avaliação diária da data ótima de switching — V127 | - Objetivo: testar diariamente, desde D0 até o fim do horizonte, qual é a melhor data de switching por lote e por agrupamento, mantendo a análise conjunta até o fim do período. | - Escopo: lotes já investidos e, quando existirem, lotes não aportados disponíveis, com comparação entre cenários individuais e agrupados, sempre em modo integral. | - Observação: a grade diária agora cobre todas as combinações integrais entre as melhores ações por fonte do dia, incluindo fontes não aportadas disponíveis quando existirem. | - Execução pesada: o código foi preparado para rodar em blocos e consolidar a grade diária por partes quando o ambiente interativo não suporta o horizonte completo em uma única passagem. | ## Janela auditada | - Data de referência: 2026-04-21 | - Janela total teórica do horizonte: 2026-04-21 → 2027-03-31"
relatorios/historico/auditorias_especificas/temporal/AVALIACAO_DIARIA_DATA_OTIMA_SWITCHING_V128.md,AVALIACAO_DIARIA_DATA_OTIMA_SWITCHING_V128.md,315,19346,grade_diaria_switching,Avaliação diária da data ótima de switching — V128,"# Avaliação diária da data ótima de switching — V128 | - Objetivo: continuar a grade diária integral após `2026-05-20`, mantendo apenas `individual_integral` e `agrupado_integral` com todas as combinações elegíveis e estado recursivo após o switching. | - Leitura correta: a data ótima precisa ser buscada dia a dia; depois do dia da troca, o cenário segue até o fim da janela auditada já com a decisão realizada. | - Contrato vigente nesta entrega: sem parcial; com individual integral, agrupado integral e suporte a não aportado quando elegível. | ## Janela auditada nesta consolidação | - Data de referência: 2026-04-21 | - Horizonte teórico total da base: 2026-04-21 → 2027-03-31 | - Horizonte efetivamente auditado nesta entrega: 2026-04-21 → 2026-08-18"
relatorios/historico/auditorias_especificas/temporal/AVALIACAO_DIARIA_PARAMETRIZADA_JANELA_V130.md,AVALIACAO_DIARIA_PARAMETRIZADA_JANELA_V130.md,89,7830,grade_diaria_switching,Avaliação diária parametrizada da janela crítica — V130,"# Avaliação diária parametrizada da janela crítica — V130 | - Objetivo: rerodar a janela `2026-04-30` a `2026-05-20` com parâmetros de produto corrigidos, eliminando falsos positivos de ticket mínimo e máximo. | - Dias auditados: 21. | - Cenários parametrizados simulados: 382. | - Cenários vencedores no cenário conjunto: 211. | ## Conclusões centrais | - O bug do `CDB XP 150%` abaixo de R$ 10 mil deixa de contaminar a janela: os cenários individuais e agrupados abaixo do mínimo não entram mais na simulação. | - O `CDB XP 150%` continua aparecendo apenas quando o agrupamento realmente ultrapassa o ticket mínimo do produto."
relatorios/historico/auditorias_especificas/temporal/EXPANSAO_MULTIDESTINO_PLANEJADOR_SWITCHING_TEMPORAL_V121.md,EXPANSAO_MULTIDESTINO_PLANEJADOR_SWITCHING_TEMPORAL_V121.md,28,1451,planejamento_temporal_multihorizonte,Expansão multidestino do planejador temporal de switching — V121,# Expansão multidestino do planejador temporal de switching — V121 | ## Objetivo | Expandir o `planejador_switching_temporal_v1` para comparar múltiplos destinos elegíveis por lote usando o mesmo `ganho_terminal_economico_minimo_estimado` introduzido na V120. | ## Componentes incorporados | - lista de destinos elegíveis construída a partir da triagem do motor; | - comparação por lote contra até 12 destinos elegíveis no recorte curto; | - exclusão de destino idêntico ao produto de origem do lote; | - ranqueamento econômico único para todos os destinos testados;
relatorios/historico/auditorias_especificas/temporal/GRADE_DIARIA_OFICIAL_HIBRIDA_V133.md,GRADE_DIARIA_OFICIAL_HIBRIDA_V133.md,47,5280,grade_diaria_switching,Grade diária oficial com comparador híbrido — V133,"# Grade diária oficial com comparador híbrido — V133 | - Objetivo: integrar o `comparador_hibrido_switching_v1` ao fluxo oficial da grade diária, para que o melhor cenário do dia seja emitido como `vencedor terminal`, `vencedor híbrido aceitável` ou `baseline`, sem promoção automática de `vencedor operacional`. | - Dias auditados: 21 | - Resultados avaliados: 382 | - Dias com vencedor lexicográfico bloqueado: 21 | - Dias promovidos com switching: 5 | - Dias promovidos com baseline: 16 | - Dias em que a promoção oficial diferiu do vencedor lexicográfico: 5"
relatorios/historico/auditorias_especificas/temporal/INTEGRACAO_FUNCIONAL_MINIMA_V117_RECORTE_CURTO.md,INTEGRACAO_FUNCIONAL_MINIMA_V117_RECORTE_CURTO.md,128,3923,auditoria_temporal_geral,Integração funcional mínima V117/V121 — recorte curto,"# Integração funcional mínima V117/V121 — recorte curto | - Data de referência: 2026-04-21 | - Horizonte: {'data_inicio': '2026-04-21', 'data_fim': '2026-05-21'} | - Critério do planejador temporal: ganho_terminal_economico_minimo_estimado | - Destinos elegíveis considerados por lote: 12 | - Candidatos elegíveis de switching: 20 | - Melhor cenário atual: switching_temporal_top2 | - Vetor lexicográfico: (0.0, 0.0, 0.0, 48.99, 9699.45, 0.0, 29.41, 5.0)"
