arquivo,nome,versao_detectada,faixa_versao,classe_preliminar,linhas,tamanho_bytes,titulo,primeiras_linhas
relatorios/historico/baselines/BASELINE_FIXA_V10.md,BASELINE_FIXA_V10.md,10,V001_V030,BASELINE_RELEVANTE,24,746,Baseline fixa V10,"# Baseline fixa V10 | Esta versão do repositório foi congelada como baseline fixa de referência da fase atual do projeto. | ## Escopo desta derivação | A V10 abre de forma restrita o bloco 03 apenas na parte estrutural da aba `Carteira`, incluindo: | - carteira canônica inicial;"
relatorios/historico/baselines/BASELINE_FIXA_V100.md,BASELINE_FIXA_V100.md,100,V091_V120,BASELINE_RELEVANTE,20,1135,Baseline fixa V100,"# Baseline fixa V100 | ## Escopo da V100 | A V100 preserva a baseline funcional da V99, mantém a saída operacional do console e do extrato futuro já aprovadas e adiciona uma auditoria temporal explícita sobre a `decisao_local_v1`, com depleção cumulativa dos lotes sugeridos na fotografia da data de referência. | ## O que a V100 altera"
relatorios/historico/baselines/BASELINE_FIXA_V101.md,BASELINE_FIXA_V101.md,101,V091_V120,BASELINE_RELEVANTE,19,1177,Baseline fixa V101,"# Baseline fixa V101 | ## Escopo da V101 | A V101 preserva a baseline funcional da V100, mantém a saída operacional do console e do extrato futuro já aprovadas, preserva a auditoria temporal explícita sobre a `decisao_local_v1` e adiciona uma camada de reescolha dinâmica pós-quebra para recomputar a fonte dos pagamentos futuros que deixam de ser coerentes sequencialmente, sem reabrir o solver global. | ## O que a V101 altera"
relatorios/historico/baselines/BASELINE_FIXA_V103.md,BASELINE_FIXA_V103.md,103,V091_V120,BASELINE_RELEVANTE,12,908,BASELINE FIXA V103,"# BASELINE FIXA V103 | A V103 preserva a baseline funcional imediatamente anterior e adiciona uma **heurística conjunta parcial** focada no bloco crítico entre **20/04/2026** e **20/05/2026**. A nova camada continua sem solver global, usa a `decisao_local_v1` com `proxy v3` como base e introduz planejamento de reservas estratégicas por fonte para testar se a primeira grande quebra estrutural pode ser adiada. | ## O que a V103 adiciona | - nova camada `heuristica_conjunta_parcial_bloco_critico`; | - planejamento heurístico de reservas por fonte para o bloco crítico;"
relatorios/historico/baselines/BASELINE_FIXA_V104.md,BASELINE_FIXA_V104.md,104,V091_V120,BASELINE_RELEVANTE,10,759,BASELINE FIXA V104,"# BASELINE FIXA V104 | A V104 preserva a baseline funcional imediatamente anterior e adiciona a camada `planejamento_conjunto_local_bloco_critico_v1`, restrita ao intervalo **20/04/2026–20/05/2026**. Essa camada compara poucas políticas candidatas de consumo e preservação de lotes com objetivo explícito de melhorar a cobertura do **Cartão Azul de 20/05** sem abrir solver global. | ## O que a V104 adiciona | - comparação auditável entre políticas candidatas do bloco crítico; | - seleção automática da melhor política local segundo cobertura do evento-âncora, pagamentos cobertos no bloco e déficit total;"
relatorios/historico/baselines/BASELINE_FIXA_V105.md,BASELINE_FIXA_V105.md,105,V091_V120,BASELINE_RELEVANTE,14,641,Baseline fixa V105,"# Baseline fixa V105 | A V105 preserva a baseline imediatamente anterior e adiciona a camada `microplanejamento_conjunto_bloco_critico_v2`, restrita ao intervalo **20/04/2026–20/05/2026**. | ## Objetivo | - comparar poucas políticas candidatas no bloco crítico; | - embutir multifonte de forma controlada; | - usar reservas explícitas de lotes estratégicos;"
relatorios/historico/baselines/BASELINE_FIXA_V106.md,BASELINE_FIXA_V106.md,106,V091_V120,MARCO_CHAVE_PROVAVEL,18,979,Baseline fixa V106,"# Baseline fixa V106 | A V106 preserva integralmente a baseline imediatamente anterior em termos de lógica executável e adiciona uma **camada documental/contratual** de saneamento do repositório. | ## Objetivo | - separar formalmente a trilha experimental local da frente central do projeto; | - redefinir o eixo principal do repositório no motor conjunto de pagamentos, aportes e switching; | - formalizar a métrica canônica mínima central que vai governar a futura `recomputacao_sequencial_central_v1`."
relatorios/historico/baselines/BASELINE_FIXA_V107.md,BASELINE_FIXA_V107.md,107,V091_V120,BASELINE_RELEVANTE,10,412,Baseline fixa V107,# Baseline fixa V107 | A V107 preserva a governança contratual da V106 e adiciona a primeira camada executável da frente central: `recomputacao_sequencial_central_v1`. | ## Propósito | - retomar a frente central do projeto; | - usar a métrica canônica mínima central como régua obrigatória;
relatorios/historico/baselines/BASELINE_FIXA_V108.md,BASELINE_FIXA_V108.md,108,V091_V120,BASELINE_RELEVANTE,11,459,Baseline fixa V108,"# Baseline fixa V108 | A V108 preserva a governança contratual da V106 e a retomada da frente central da V107, adicionando uma calibração mínima da `recomputacao_sequencial_central_v1`. | ## Escopo fixado | - frente central mantida como eixo principal; | - V103–V105 mantidas como trilha experimental local;"
relatorios/historico/baselines/BASELINE_FIXA_V11.md,BASELINE_FIXA_V11.md,11,V001_V030,BASELINE_RELEVANTE,20,704,Baseline fixa V11,"# Baseline fixa V11 | Esta versão do repositório foi congelada como baseline fixa de referência da fase atual do projeto. | ## Escopo específico da V11 | A V11 abre de forma restrita o bloco 05 apenas na parte de **dados operacionais canônicos**, sem replay do passado e sem núcleo financeiro."
