id,controle,comando,evidencia,status,severidade,observacao
G1,"scipy declarado no manifesto","rg -n ""^scipy($|[<>=])"" requirements.txt","requirements.txt:8",PASS,alta,"Dependência declarada conforme RD-04"
G2,"comandos rastreáveis mantidos após RD-04A","rg -n -F -e "".../evidencias/"" relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-01/02_matriz_checklist.csv relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-02/02_matriz_validacao_numerica.csv || true","sem ocorrência nos csv alvo",PASS,media,"Hotfix de reprodutibilidade preservado"
G3,"gate de import scipy (pré-instalação)","python -c ""import scipy; print(scipy.__version__)"" > relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-05/evidencias/import_scipy.txt 2>&1","evidencias/import_scipy.txt linhas 1-3",FAIL,critica,"Ambiente sem scipy"
G4,"instalação por requirements","python -m pip install -r requirements.txt > relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-05/evidencias/pip_install_requirements.txt 2>&1","evidencias/pip_install_requirements.txt linhas 8-17",FAIL,critica,"Proxy/rede 403 bloqueia scipy"
G5,"gate de import scipy (pós-instalação)","python -c ""import scipy; print(scipy.__version__)"" >> relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-05/evidencias/import_scipy.txt 2>&1","evidencias/import_scipy.txt linhas 4-6",FAIL,critica,"Bloqueio persiste"
N2,"console principal executa sem erro fatal","python aplicacao/principal.py > relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-05/evidencias/console_execucao.txt 2>&1","não executado",NA,alta,"Bloqueado pelo gate G3/G5"
N3,"planilha operacional executa sem erro fatal","python scripts/operacional/gerar_planilha_operacional.py > relatorios/atuais/framework_execucao/rodadas/RD-2026-04-28-05/evidencias/planilha_execucao.txt 2>&1","não executado",NA,alta,"Bloqueado pelo gate G3/G5"
N4,"pagamentos têm fonte/lote identificável","análise de saída numérica","não executado",NA,alta,"Dependente de N2/N3"
N5,"switching associado a conta/cenário","análise de saída numérica","não executado",NA,alta,"Dependente de N2/N3"
N6,"combinação mínima sem cobertura parcial indevida","análise de saída numérica","não executado",NA,alta,"Dependente de N2/N3"
N7,"recebidos futuros respeitam data","análise de saída numérica","não executado",NA,alta,"Dependente de N2/N3"
N8,"ordem intradiária por pacote coerente","análise de saída numérica","não executado",NA,media,"Dependente de N2/N3"
N9,"resíduos sem saldo material indevido","análise de saída numérica","não executado",NA,media,"Dependente de N2/N3"
N10,"saída canônica respeitada","análise de saída numérica","não executado",NA,media,"Dependente de N2/N3"
N11,"sem divergência óbvia contrato vs execução","análise de saída numérica","não executado",NA,alta,"Dependente de N2/N3"
