arquivo,nome,linhas,tamanho_bytes,titulo,referencias_externas,exemplos_referencias_externas,primeiras_linhas
relatorios/historico/contratos_intermediarios/ALOCADOR_PAGAMENTOS_TERMINAL_V137.md,ALOCADOR_PAGAMENTOS_TERMINAL_V137.md,26,1326,ALOCADOR PAGAMENTOS TERMINAL V137,14,relatorios/atuais/AUDITORIA_LIMPEZA_RESIDUAL_V201.md:23:- moved: `saidas/oficial/ALOCADOR_PAGAMENTOS_TERMINAL_V137.md` → `saidas/historico/compatibilidade_operacional/ALOCADOR_PAGAMENTOS_TERMINAL_V137.md` || relatorios/atuais/AUDITORIA_LIMPEZA_RESIDUAL_V201.md:24:- moved: `saidas/oficial/alocador_pagamentos_terminal_v137.json` → `saidas/historico/compatibilidade_operacional/alocador_pagamentos_terminal_v137.json` || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:596:scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v137.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:681:scripts/historico_raiz/inspecionar_alocador_pagamentos_terminal_v137.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:744:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v137.py,"# ALOCADOR PAGAMENTOS TERMINAL V137 | ## Objetivo | Elevar o `alocador_pagamentos_terminal_v1` de esqueleto funcional mínimo para uma primeira versão realmente utilizável na integração com o motor de pagamentos. | ## Escopo implementado | A V137 passa a comparar explicitamente, para cada pagamento: | - saldo disponível; | - lote não aportado já disponível na data; | - lote aportado resgatável na data, com custo fiscal estimado;"
relatorios/historico/contratos_intermediarios/ALOCADOR_PAGAMENTOS_TERMINAL_V141.md,ALOCADOR_PAGAMENTOS_TERMINAL_V141.md,29,959,Alocador pagamentos terminal — V141,12,"relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:597:scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v141.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:682:scripts/historico_raiz/inspecionar_alocador_pagamentos_terminal_v141.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:745:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v141.py || relatorios/atuais/MAPA_GOVERNANCA_FINAL_SCRIPTS_V204.csv:17:scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v141.py,LEGADO_BLOQUEADO_V203,mantido como bloqueio da V203 || relatorios/atuais/MAPA_GOVERNANCA_FINAL_SCRIPTS_V204.csv:97:scripts/historico_raiz/inspecionar_alocador_pagamentos_terminal_v141.py,HISTORICO_BLOQUEADO_V204,bloqueado; sem autoridade operacional","# Alocador pagamentos terminal — V141 | ## Escopo da etapa | A V141 implementa a **Fase 1 de absorção dos modelos do Script 1** no `alocador_pagamentos_terminal_v1`, incorporando: | - `score_hibrido_5p_fonte` | - `penalidade_cliff_idade` | - `oportunidade_vpl_marginal` | Essas heurísticas entram como: | - score auxiliar por fonte;"
relatorios/historico/contratos_intermediarios/BASELINE_FIXA_V139.md,BASELINE_FIXA_V139.md,9,390,Baseline fixa V139,0,,"# Baseline fixa V139 | A V139 é a baseline de reorganização estrutural de baixo risco derivada da V138. | ## Escopo | - limpeza de `relatorios/atuais`; | - separação entre documentação vigente e histórica; | - reorganização da trilha de saídas em `oficial/`, `diagnostico/` e `historico/`; | - preparação da base para a absorção futura dos modelos do Script 1 na camada de pagamentos."
relatorios/historico/contratos_intermediarios/BASELINE_FIXA_V141.md,BASELINE_FIXA_V141.md,8,399,Baseline fixa V141,1,"scripts/diagnostico/verificar_release_baseline.py:53:        'BASELINE_FIXA_V141.md',",# Baseline fixa V141 | A V141 mantém a V140 como baseline contratual da absorção dos modelos do Script 1 na camada de pagamentos e implementa a **Fase 1** no `alocador_pagamentos_terminal_v1`. | Nesta etapa: | - não há expansão do bloco real de pagamentos; | - não há reabertura da auditoria ampla de switching; | - o foco é incorporar H1–H3 como score auxiliar e desempate econômico por fonte.
relatorios/historico/contratos_intermediarios/COMPARADOR_HIBRIDO_SWITCHING_V132.md,COMPARADOR_HIBRIDO_SWITCHING_V132.md,52,5302,Comparador híbrido de switching — V132,12,"relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:610:scripts/diagnostico/inspecionar_comparador_hibrido_switching_v132.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:694:scripts/historico_raiz/inspecionar_comparador_hibrido_switching_v132.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:753:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparador_hibrido_switching_v132.py || relatorios/atuais/MAPA_GOVERNANCA_FINAL_SCRIPTS_V204.csv:29:scripts/diagnostico/inspecionar_comparador_hibrido_switching_v132.py,LEGADO_BLOQUEADO_V203,mantido como bloqueio da V203 || relatorios/atuais/MAPA_GOVERNANCA_FINAL_SCRIPTS_V204.csv:109:scripts/historico_raiz/inspecionar_comparador_hibrido_switching_v132.py,HISTORICO_BLOQUEADO_V204,bloqueado; sem autoridade operacional","# Comparador híbrido de switching — V132 | ## Objetivo | Classificar cada cenário diário como `vencedor operacional`, `vencedor terminal`, `vencedor híbrido aceitável` ou `dominado pelo baseline`, bloqueando a promoção automática de switchings que piorem patrimônio líquido terminal frente ao baseline. | ## Contagem agregada das classes | - vencedor_operacional: 186 | - vencedor_terminal: 25 | - vencedor_hibrido_aceitavel: 0 | - dominado_pelo_baseline: 171"
relatorios/historico/contratos_intermediarios/CONTRATO_ABSORCAO_MODELOS_SCRIPT1_PAGAMENTOS_V140.md,CONTRATO_ABSORCAO_MODELOS_SCRIPT1_PAGAMENTOS_V140.md,168,5573,Contrato de absorção dos modelos do Script 1 na camada de pagamentos — V140,0,,"# Contrato de absorção dos modelos do Script 1 na camada de pagamentos — V140 | ## Objetivo | Formalizar quais partes do Script 1 entram primeiro no `alocador_pagamentos_terminal_v1` para melhorar a alocação de pagamentos com foco em **patrimônio líquido terminal**, sem reabrir o repositório ao acoplamento do legado inteiro. | ## Escopo desta etapa | Esta etapa **não** implementa ainda os modelos do Script 1 dentro do fluxo oficial amplo. | Ela define: | - quais heurísticas entram primeiro; | - qual o papel de cada heurística;"
relatorios/historico/contratos_intermediarios/CONTRATO_RANKING_CARTEIRA_V123.md,CONTRATO_RANKING_CARTEIRA_V123.md,17,1076,Contrato operacional do ranking Carteira-only — V123,0,,"# Contrato operacional do ranking Carteira-only — V123 | ## Objetivo | Integrar ao projeto principal o método estabilizado de score/ranking da aba `Carteira`, sem mutar a planilha-fonte e sem reabrir a metodologia congelada. | ## Escopo da V123 | - entrada oficial: somente a aba `Carteira`; | - fonte contratual: `config/carteira_contract_v123.json`; | - parâmetros fixos: `config/fixed_parameters_ranking_carteira.json`; | - artefatos separados: ranking completo, top 30, destinos de switching e resumo de validação."
relatorios/historico/contratos_intermediarios/CONTRATO_V117_ALOCADOR_PAGAMENTOS_TERMINAL_E_PLANEJADOR_SWITCHING_TEMPORAL.md,CONTRATO_V117_ALOCADOR_PAGAMENTOS_TERMINAL_E_PLANEJADOR_SWITCHING_TEMPORAL.md,203,9146,Contrato-alvo V117 — `alocador_pagamentos_terminal_v1` + `planejador_switching_temporal_v1`,1,relatorios/atuais/RELATORIO_CONSOLIDADO_OBJETIVO_FINAL_HISTORICO.md:132:- `relatorios/atuais/CONTRATO_V117_ALOCADOR_PAGAMENTOS_TERMINAL_E_PLANEJADOR_SWITCHING_TEMPORAL.md`,"# Contrato-alvo V117 — `alocador_pagamentos_terminal_v1` + `planejador_switching_temporal_v1` | ## 1. Status da V117 | 1. A V117 é uma **camada contratual/de desenho arquitetural** da próxima etapa central do projeto. | 2. Ela **não** substitui a V108 como baseline central executável. | 3. Ela **não** promove a V116 a motor final. | 4. A V117 existe para congelar a interface mínima da próxima implementação, evitando que a frente central volte a derivar para recomendações locais por conta sem integração ao objetivo terminal. | --- | ## 2. Pergunta central que a V117 precisa responder"
relatorios/historico/contratos_intermediarios/CONTRATO_V117_MOTOR_CONJUNTO_TEMPORAL.md,CONTRATO_V117_MOTOR_CONJUNTO_TEMPORAL.md,123,3855,Contrato V117 — motor conjunto temporal,1,relatorios/atuais/RELATORIO_CONSOLIDADO_OBJETIVO_FINAL_HISTORICO.md:131:- `relatorios/atuais/CONTRATO_V117_MOTOR_CONJUNTO_TEMPORAL.md`,# Contrato V117 — motor conjunto temporal | ## Objetivo da V117 | A V117 introduz uma camada **documental/técnica mínima e executável** para o futuro motor conjunto temporal do projeto. | Esta versão **não** substitui a baseline central V108 e **não** promove a camada operacional por conta como motor final. O papel da V117 é formalizar os contratos mínimos de quatro módulos centrais: | - `planejador_switching_temporal_v1` | - `alocador_pagamentos_terminal_v1` | - `simulador_central_eventos_v1` | - `avaliador_cenarios_conjuntos_v1`
relatorios/historico/contratos_intermediarios/ESTRUTURA_REPOSITORIO_V139.md,ESTRUTURA_REPOSITORIO_V139.md,12,679,Estrutura do repositório — V139,0,,# Estrutura do repositório — V139 | ## Ajuste desta etapa | A V139 não altera ainda a localização dos módulos de negócio em `nucleo/`. Ela reorganiza primeiro a superfície documental e a trilha de saídas para reduzir ruído operacional antes da absorção dos modelos do Script 1. | ## Trilhas vigentes após a V139 | - `relatorios/atuais/` → apenas documentação realmente vigente | - `relatorios/historico/` → trilha histórica organizada | - `saidas/oficial/` → saídas operacionais correntes | - `saidas/diagnostico/` → artefatos técnicos intermediários
relatorios/historico/contratos_intermediarios/ESTRUTURA_REPOSITORIO_V141.md,ESTRUTURA_REPOSITORIO_V141.md,11,566,Estrutura do repositório — V141,1,"scripts/diagnostico/verificar_release_baseline.py:55:        'ESTRUTURA_REPOSITORIO_V141.md',",# Estrutura do repositório — V141 | A V141 mantém a reorganização da V139/V140 e adiciona a implementação funcional da Fase 1 em: | - `nucleo/pagamentos/modelos_script1/heuristicas_fase1.py` | - `nucleo/alocador_pagamentos_terminal_v1.py` | - `scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v141.py` | Objetivo estrutural: | - permitir que o `alocador_pagamentos_terminal_v1` use H1–H3 sem acoplamento monolítico ao Script 1 legado; | - manter o switching subordinado ao comparador híbrido;
relatorios/historico/contratos_intermediarios/F1_CONTRATO_MINIMO_CAIXA_RECEBIDOS.md,F1_CONTRATO_MINIMO_CAIXA_RECEBIDOS.md,178,6069,Frente F1 — contrato mínimo de caixa/recebidos auditáveis,0,,"# Frente F1 — contrato mínimo de caixa/recebidos auditáveis | ## Escopo desta etapa | A Etapa 8 da F1 preserva o **contrato mínimo canônico** da nova camada de caixa/recebidos auditáveis e mantém a quarta estrutura real materializada: `decisao_local_v1` escolhe, por pagamento, uma fonte prioritária observável sobre a matriz temporal completa (`fonte_elegivel_pagamento` + `saldo_disponivel_geral`) usando um `proxy econômico v3` auditável. Nesta etapa, o projeto **não** altera o motor financeiro, **não** abre solver ou switching e **não** integra ainda a decisão ao fluxo principal do console ou da planilha operacional. | ## Objetivo | Criar uma base formal, estável e auditável para que as próximas etapas possam materializar: | - fontes elegíveis de pagamento por data e por pagamento; | - saldo disponível geral por pagamento sem duplicar as fontes explícitas já observáveis; | - recebidos auditáveis com destino explícito e vínculo histórico observável;"
relatorios/historico/contratos_intermediarios/FLUXO_PAGAMENTOS_TERMINAL_RECORTE_AMPLO_V142.md,FLUXO_PAGAMENTOS_TERMINAL_RECORTE_AMPLO_V142.md,57,3152,FLUXO PAGAMENTOS TERMINAL RECORTE AMPLO V142,14,relatorios/atuais/AUDITORIA_LIMPEZA_RESIDUAL_V201.md:27:- moved: `saidas/oficial/fluxo_pagamentos_terminal_recorte_amplo_v142.json` → `saidas/historico/compatibilidade_operacional/fluxo_pagamentos_terminal_recorte_amplo_v142.json` || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:64:nucleo/fluxo_pagamentos_terminal_recorte_amplo_v142.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:619:scripts/diagnostico/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:703:scripts/historico_raiz/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:758:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,"# FLUXO PAGAMENTOS TERMINAL RECORTE AMPLO V142 | - Objetivo: expandir a integração do `alocador_pagamentos_terminal_v1` para um recorte real maior de pagamentos e medir, em fluxo completo, como H1–H3 alteram as escolhas entre `lote_aportado`, `lote_nao_aportado`, `combinacao_minima_fontes` e `cenario_switching_elegivel`. | - Baseline de origem: `V141`. | - Observação operacional: a auditoria comparativa V142 usou teto controlado de candidatos de switching por data para manter o recorte maior executável sem alterar o contrato central do alocador. | ## Resumo do recorte | - intervalo: `2026-04-21` → `2026-06-10` | - pagamentos avaliados: **20** | - dias com pagamento: **13**"
